,Month,DayOfWeek,Time,SecurityDelay
4909604,9,1,10,72.0
881255,2,3,16,49.0
1299934,3,3,17,1.0
6341626,11,1,21,17.0
3426602,6,4,19,13.0
3305223,6,2,11,26.0
2083063,4,2,10,7.0
6585948,12,2,17,19.0
4193666,7,2,12,5.0
1249672,3,2,7,17.0
6722776,12,4,14,28.0
2875606,5,3,13,31.0
4561772,8,3,19,111.0
1395847,3,1,6,23.0
105573,1,1,19,8.0
115361,1,2,14,9.0
4411805,8,2,14,32.0
1735709,3,4,9,3.0
558097,1,2,6,1.0
2865767,5,4,13,111.0
628341,2,6,14,18.0
1644524,3,4,12,40.0
2402880,5,3,12,70.0
2060053,4,1,20,12.0
752157,2,5,8,30.0
3701722,7,3,14,4.0
4271494,8,4,19,4.0
5415159,10,7,8,50.0
3277161,6,3,20,6.0
6862959,12,6,6,31.0
6947207,12,4,20,15.0
2515669,5,2,16,4.0
4769093,8,4,13,1.0
3016348,6,1,13,12.0
6539135,12,5,10,3.0
33069,1,7,15,15.0
1941437,4,7,18,11.0
3077377,6,5,21,3.0
4333905,8,5,20,18.0
4282921,8,7,6,55.0
127294,1,7,12,8.0
4556505,8,1,14,102.0
2354595,4,2,21,29.0
5485481,10,4,12,2.0
6977764,12,2,6,15.0
525375,1,3,18,5.0
1295532,3,4,10,2.0
2453559,5,4,8,4.0
297043,1,2,16,29.0
3050556,6,4,18,14.0
1447985,3,7,19,16.0
3640183,7,7,19,5.0
2059757,4,7,7,26.0
1817697,4,5,19,24.0
2501276,5,7,19,9.0
1729090,3,7,9,4.0
3877547,7,6,13,5.0
1753502,3,7,18,26.0
1914880,4,1,17,18.0
5646486,10,5,18,21.0
6891092,12,4,6,37.0
2368608,4,7,19,9.0
2461936,5,7,11,17.0
5652422,10,3,10,2.0
1747552,3,3,18,16.0
1299140,3,5,12,58.0
6029435,11,7,14,8.0
2518536,5,4,6,20.0
647387,2,5,21,14.0
3063236,6,1,16,11.0
1156955,2,6,6,19.0
1372304,3,1,6,36.0
2969764,5,1,6,8.0
3880857,7,2,18,131.0
4821719,8,1,17,15.0
115277,1,2,19,6.0
3884121,7,4,11,91.0
6977760,12,2,6,8.0
537472,1,4,6,17.0
638197,2,2,9,7.0
2936427,5,4,17,1.0
5033400,9,6,10,16.0
2528539,5,4,10,22.0
720727,2,2,11,2.0
3013645,6,7,17,25.0
6002034,11,5,14,15.0
4040334,7,4,12,77.0
2560436,5,6,7,13.0
579260,1,2,17,4.0
49015,1,5,20,9.0
1764418,3,1,8,6.0
1805520,4,1,21,36.0
1849627,4,1,19,4.0
6518877,12,5,8,10.0
1252650,3,3,12,7.0
3325587,6,5,6,20.0
1219027,3,7,9,2.0
1902926,4,2,19,5.0
6579088,12,2,6,7.0
4112254,7,4,6,42.0
6719063,12,1,9,16.0
301292,1,3,13,4.0
3006893,6,5,12,16.0
4380990,8,1,6,40.0
4771997,8,4,17,5.0
33148,1,7,15,15.0
2416316,5,7,19,20.0
3125623,6,7,15,45.0
6434293,11,4,14,34.0
300000,1,3,7,15.0
4161030,7,5,13,5.0
3143530,6,3,6,37.0
1127879,2,2,12,1.0
4520567,8,4,6,16.0
4955069,9,4,19,7.0
256279,1,2,6,15.0
3525507,6,2,16,17.0
2453755,5,4,19,3.0
298565,1,3,7,18.0
6765214,12,6,5,7.0
1256196,3,4,19,12.0
3901469,7,4,20,37.0
1896422,4,5,19,7.0
1267441,3,7,8,11.0
584436,1,4,14,6.0
1299625,3,1,17,35.0
2816085,5,3,6,10.0
2512547,5,7,17,4.0
5854155,10,1,14,12.0
1182397,3,3,16,13.0
2390226,5,6,13,4.0
3550681,6,2,18,2.0
6432846,11,6,7,34.0
6810070,12,5,14,6.0
6529699,12,2,7,9.0
4976797,9,6,21,55.0
3176517,6,7,21,20.0
1893979,4,5,16,2.0
3121541,6,7,18,69.0
7410,1,6,16,34.0
4351015,8,2,15,2.0
1751644,3,4,6,15.0
5491702,10,4,19,27.0
6426320,11,7,19,20.0
3098197,6,6,14,11.0
3713057,7,7,18,9.0
1761404,3,5,19,35.0
3081494,6,6,8,12.0
125250,1,2,15,8.0
6708353,12,6,15,4.0
436658,1,3,9,30.0
127136,1,3,19,10.0
3714401,7,6,12,16.0
6028975,11,7,20,5.0
1903540,4,6,13,3.0
1914154,4,1,19,9.0
6393734,11,4,10,2.0
4241920,8,2,12,31.0
431917,1,3,9,36.0
1238116,3,5,10,5.0
4099804,7,2,16,28.0
3043919,6,2,20,1.0
5576923,10,3,9,11.0
2902048,5,2,23,1.0
5911600,10,5,6,22.0
261853,1,6,7,17.0
3139985,6,5,5,33.0
2551531,5,4,6,18.0
6649425,12,4,7,9.0
6716023,12,5,19,77.0
1115520,2,7,12,12.0
3448991,6,3,8,3.0
5361749,9,4,15,21.0
1186526,3,4,19,2.0
1234644,3,4,20,13.0
711590,2,7,18,8.0
1266277,3,7,19,1.0
5319445,9,2,10,18.0
6717638,12,7,11,10.0
3708246,7,3,10,87.0
3562038,6,1,11,1.0
2501754,5,4,14,9.0
5911587,10,5,15,9.0
6854539,12,2,17,29.0
4104336,7,2,13,11.0
6531553,12,2,12,15.0
300584,1,3,9,8.0
5415146,10,7,7,67.0
1999197,4,2,9,7.0
1297761,3,7,14,20.0
1351786,3,2,10,53.0
1188674,3,5,6,15.0
4241958,8,2,12,19.0
5620282,10,4,15,14.0
6644495,12,6,7,3.0
2160284,4,2,13,17.0
6526499,12,1,15,28.0
2083048,4,2,6,16.0
2967979,5,5,15,16.0
4156676,7,3,18,11.0
6980107,12,6,21,5.0
4961933,9,4,15,16.0
115212,1,3,10,13.0
1294735,3,6,15,3.0
2513480,5,4,16,7.0
1914665,4,7,10,8.0
1346355,3,6,9,15.0
1351707,3,2,10,51.0
109666,1,5,15,36.0
2504191,5,6,19,15.0
174899,1,5,20,82.0
1230538,3,3,8,14.0
6951573,12,2,8,25.0
1446737,3,6,17,6.0
2353334,4,7,19,10.0
1317860,3,6,8,58.0
1804507,4,1,18,4.0
1622465,3,6,9,22.0
1225370,3,2,16,4.0
6529011,12,2,12,12.0
1867531,4,6,16,20.0
1219136,3,7,17,1.0
5646543,10,5,18,10.0
3120800,6,7,21,22.0
4887619,9,2,8,30.0
4268797,8,3,15,29.0
3623395,7,2,7,25.0
4379553,8,6,19,43.0
3260683,6,4,20,13.0
1230653,3,3,8,8.0
2953795,5,4,19,2.0
4206258,7,4,15,15.0
625652,2,5,8,26.0
6427087,11,7,6,6.0
427133,1,3,9,18.0
2838325,5,4,10,42.0
1245,1,4,11,11.0
4810587,8,2,14,7.0
1456573,3,6,13,13.0
798706,2,5,19,28.0
2961362,5,6,6,23.0
3029021,6,4,6,15.0
6445812,11,2,15,2.0
1209119,3,4,14,14.0
2082255,4,2,7,12.0
1288433,3,1,17,8.0
703807,2,1,11,4.0
546243,1,4,20,15.0
886017,2,5,17,17.0
3772453,7,7,6,23.0
7377,1,6,19,13.0
6198020,11,6,13,40.0
4821268,8,6,20,10.0
4188338,7,7,16,17.0
1230614,3,3,7,58.0
6555391,12,3,16,5.0
3118981,6,1,11,3.0
2392017,5,7,13,10.0
4160892,7,5,19,30.0
511209,1,6,6,27.0
3567788,6,6,21,9.0
6649769,12,2,8,5.0
1292335,3,5,7,7.0
493589,1,3,16,20.0
1305523,3,4,17,7.0
1056154,2,1,23,11.0
494842,1,4,15,10.0
1346173,3,6,6,17.0
4963810,9,7,15,73.0
5014877,9,1,14,18.0
4111298,7,2,15,53.0
1612973,3,7,19,54.0
3901403,7,4,19,32.0
1282591,3,2,6,19.0
677176,2,7,16,4.0
580423,1,3,18,42.0
1149898,2,1,7,8.0
1727630,3,4,17,7.0
6645715,12,7,9,44.0
1898947,4,7,19,7.0
2083094,4,2,15,23.0
6134255,11,6,13,35.0
535992,1,7,7,24.0
1295451,3,4,18,11.0
97366,1,1,8,11.0
128756,1,3,19,39.0
2470338,5,2,7,25.0
6519920,12,6,12,13.0
4775546,8,5,11,31.0
111347,1,6,8,7.0
127213,1,7,18,18.0
2508602,5,3,14,17.0
1285959,3,1,19,27.0
6716037,12,5,19,63.0
2493991,5,3,13,15.0
2584212,5,7,5,12.0
3678164,7,5,7,17.0
1302837,3,6,13,13.0
1846894,4,7,14,25.0
2831224,5,1,17,12.0
3533496,6,6,21,7.0
2556892,5,4,8,2.0
4124967,7,4,8,150.0
611817,2,1,8,7.0
1753090,3,5,18,5.0
1346163,3,6,13,15.0
196307,1,4,8,61.0
3638178,7,7,19,5.0
110788,1,7,11,4.0
6727789,12,1,6,16.0
5326915,9,6,13,11.0
6499316,12,6,15,1.0
2986085,5,6,6,42.0
4393338,8,2,6,5.0
91953,1,4,21,11.0
4377707,8,3,16,22.0
1281493,3,6,18,36.0
3577863,6,4,18,33.0
1379119,3,5,7,26.0
1441770,3,2,15,20.0
4155096,7,6,21,34.0
1238264,3,5,10,37.0
676215,2,7,11,28.0
6541101,12,6,10,18.0
2364703,4,7,19,8.0
1239178,3,6,15,4.0
3272748,6,7,18,24.0
3024794,6,3,15,4.0
2707340,5,6,13,49.0
74107,1,5,15,18.0
2070829,4,2,8,2.0
611963,2,1,8,23.0
2228380,4,2,12,7.0
1753340,3,4,16,10.0
6440488,11,2,18,17.0
67051,1,3,18,2.0
4819653,8,6,14,11.0
6506859,12,2,15,14.0
2935586,5,3,17,10.0
2964552,5,6,17,25.0
1282460,3,7,10,10.0
3473718,6,4,21,5.0
655218,2,1,7,19.0
1251391,3,2,6,21.0
2511685,5,1,17,7.0
3713033,7,7,20,23.0
1719471,3,4,11,31.0
6516143,12,4,12,20.0
1925969,4,5,20,37.0
723547,2,1,15,13.0
1269115,3,1,12,6.0
2050425,4,7,13,9.0
260621,1,5,17,15.0
1107511,2,1,11,12.0
4068129,7,4,7,24.0
4799112,8,2,7,1.0
3710501,7,4,19,4.0
5453850,10,5,13,5.0
742245,2,5,17,26.0
1190454,3,5,17,4.0
1464894,3,6,23,37.0
4314602,8,3,16,2.0
1140988,2,7,18,10.0
6984568,12,7,21,22.0
2973402,5,6,12,106.0
4149354,7,2,15,44.0
3716533,7,1,17,7.0
885905,2,5,12,8.0
2958630,5,6,19,17.0
6538420,12,5,18,10.0
5098841,9,2,19,8.0
3029039,6,4,6,18.0
4237110,8,1,13,10.0
1293098,3,7,14,6.0
1270866,3,1,19,12.0
587260,1,3,19,25.0
116738,1,5,18,3.0
537349,1,4,20,27.0
3575809,6,6,21,36.0
6350478,11,7,6,22.0
5417432,10,1,15,2.0
287965,1,5,7,5.0
926555,2,5,7,6.0
5227461,9,1,13,8.0
4436431,8,3,6,2.0
6519532,12,5,7,11.0
1237179,3,5,15,7.0
125398,1,2,17,1.0
4132800,7,2,14,51.0
4534264,8,5,13,1.0
742234,2,5,15,41.0
577748,1,5,7,25.0
6974924,12,6,14,8.0
1723605,3,7,8,15.0
4772486,8,5,11,8.0
333938,1,3,11,4.0
2353117,4,6,20,28.0
577886,1,1,11,9.0
108589,1,2,18,4.0
6521959,12,6,7,21.0
766736,2,6,18,33.0
6770366,12,2,11,6.0
3043325,6,2,18,1.0
6562625,12,2,19,36.0
3108820,6,6,19,40.0
4150504,7,3,13,28.0
2548214,5,5,13,80.0
3568662,6,4,17,15.0
1812038,4,3,8,10.0
4203002,7,1,15,22.0
4197479,7,2,16,14.0
4257625,8,7,21,9.0
1156058,2,6,5,11.0
5248404,9,4,16,7.0
1137134,2,2,8,9.0
1448862,3,7,14,17.0
4186872,7,3,6,6.0
5221323,9,2,6,16.0
1794198,4,5,13,11.0
574898,1,3,19,5.0
6526552,12,1,19,20.0
6530771,12,2,16,5.0
2928504,5,4,12,15.0
1842938,4,5,18,5.0
784056,2,3,19,30.0
1892175,4,1,17,6.0
6253,1,6,8,17.0
1909440,4,7,5,33.0
3047050,6,3,18,9.0
1356026,3,5,16,28.0
1240973,3,6,15,14.0
55511,1,7,16,21.0
1192466,3,6,12,8.0
5433688,10,6,13,9.0
676825,2,7,10,7.0
2444436,5,1,7,12.0
1716657,3,4,10,37.0
6975360,12,5,7,7.0
1916864,4,2,9,7.0
1836888,4,4,7,78.0
1365758,3,4,13,26.0
6433951,11,4,19,11.0
6546208,12,7,9,6.0
2763527,5,5,13,32.0
294983,1,4,18,12.0
2407099,5,4,18,7.0
4914590,9,3,19,3.0
866911,2,6,20,28.0
914738,2,4,21,16.0
693562,2,5,17,12.0
6699976,12,6,19,12.0
3679165,7,5,7,191.0
6775680,12,4,6,8.0
4189660,7,6,17,17.0
488119,1,2,18,41.0
6055681,11,3,6,17.0
3101720,6,4,19,5.0
849449,2,6,17,16.0
667922,2,4,16,9.0
2897197,5,4,20,21.0
878257,2,1,13,44.0
6537314,12,5,7,16.0
4150406,7,3,20,2.0
3040358,6,1,13,8.0
3635790,7,6,12,4.0
2049679,4,7,11,6.0
6714594,12,4,5,6.0
5626188,10,2,11,16.0
624452,2,5,15,5.0
3029183,6,4,15,17.0
555709,1,5,7,3.0
5490815,10,5,9,18.0
4508329,8,1,6,9.0
6040752,11,1,14,7.0
856272,2,4,14,4.0
859255,2,7,16,12.0
1714021,3,4,20,21.0
5415996,10,7,21,5.0
6874467,12,6,7,20.0
2894877,5,6,14,15.0
438317,1,7,11,7.0
797842,2,4,15,97.0
2516543,5,3,14,4.0
3558029,6,3,18,21.0
3115945,6,3,15,8.0
1130008,2,6,13,5.0
11451,1,7,13,12.0
1219072,3,7,10,1.0
117521,1,3,10,6.0
5449313,10,3,6,15.0
6633615,12,6,6,16.0
4282940,8,7,6,29.0
4203204,7,6,17,14.0
6518342,12,5,11,6.0
649617,2,6,16,86.0
5490116,10,5,18,2.0
2956704,5,4,16,7.0
118474,1,3,19,12.0
2439812,5,7,15,8.0
2452141,5,4,10,14.0
5417170,10,1,12,86.0
3121959,6,1,18,48.0
3737702,7,1,15,18.0
3063327,6,1,20,1.0
1190997,3,5,6,20.0
302543,1,4,7,36.0
2424988,5,3,19,7.0
1182360,3,3,16,14.0
1426766,3,6,8,70.0
107120,1,1,9,9.0
6525629,12,1,10,40.0
2956086,5,4,16,13.0
6943941,12,2,21,8.0
3735480,7,4,18,6.0
3160172,6,1,11,23.0
3900964,7,3,13,23.0
3563481,6,6,21,7.0
6733509,12,1,6,19.0
6624344,12,5,7,3.0
796726,2,4,6,20.0
6531431,12,2,9,8.0
1306143,3,1,15,2.0
1239146,3,6,11,17.0
5144510,9,4,11,2.0
2354501,4,3,11,7.0
2345407,4,4,19,12.0
724233,2,5,10,17.0
4129817,7,5,12,6.0
568271,1,3,19,9.0
4244893,8,3,15,1.0
185409,1,4,17,26.0
6582113,12,3,9,34.0
1924994,4,4,7,25.0
4184034,7,2,15,17.0
3717736,7,5,14,3.0
6939693,12,4,6,15.0
3094212,6,1,12,2.0
6530834,12,2,6,22.0
2446881,5,2,12,27.0
260674,1,5,9,14.0
2967797,5,6,18,18.0
2317083,4,4,20,41.0
4797899,8,4,14,12.0
4203383,7,6,19,7.0
1883426,4,3,20,6.0
6438277,11,5,19,8.0
195706,1,4,7,39.0
611478,2,1,17,6.0
3098534,6,5,12,24.0
6119114,11,7,14,20.0
1192130,3,6,9,22.0
3444670,6,6,10,12.0
703416,2,5,18,8.0
1198635,3,1,10,20.0
1723996,3,1,11,5.0
2505762,5,2,12,1.0
4873086,9,4,20,10.0
6886160,12,2,17,27.0
3685182,7,7,12,19.0
4922871,9,5,9,2.0
6009005,11,1,16,3.0
4099371,7,2,13,20.0
3695961,7,3,13,7.0
1221546,3,1,20,10.0
3065175,6,1,18,16.0
1282359,3,6,10,19.0
2420385,5,1,16,12.0
5432751,10,5,14,7.0
1216201,3,6,12,1.0
3755154,7,4,13,15.0
1411884,3,6,9,25.0
207616,1,5,6,19.0
5646539,10,5,18,4.0
2446612,5,2,6,16.0
3724705,7,4,21,8.0
1900816,4,4,17,6.0
3255584,6,7,15,15.0
3153702,6,3,9,15.0
3572204,6,6,21,20.0
176020,1,6,11,37.0
3451517,6,6,10,19.0
3032037,6,5,10,4.0
3807819,7,5,7,16.0
5497851,10,3,19,7.0
4959831,9,1,16,29.0
875181,2,5,13,13.0
653146,2,7,16,24.0
6975046,12,5,5,13.0
3179851,6,2,19,51.0
2960678,5,4,15,6.0
1718857,3,2,20,15.0
648260,2,5,7,12.0
4098419,7,3,14,33.0
206935,1,4,6,25.0
6438817,11,5,22,24.0
4769881,8,6,20,3.0
1631438,3,4,9,8.0
1394065,3,7,13,21.0
6944715,12,4,11,33.0
2365873,4,5,6,12.0
3119443,6,4,14,5.0
135,1,4,18,8.0
581268,1,4,14,16.0
5630558,10,6,20,8.0
611990,2,1,13,5.0
1722114,3,3,14,131.0
2295406,4,4,6,21.0
6530399,12,2,6,24.0
2714430,5,7,6,14.0
3256600,6,1,9,11.0
2347488,4,6,19,7.0
2083013,4,2,16,10.0
4371208,8,1,16,26.0
193302,1,3,17,20.0
1791505,4,4,19,9.0
1115215,2,6,8,51.0
4930612,9,1,17,1.0
1219884,3,7,20,9.0
6231870,11,1,6,4.0
10531,1,7,14,10.0
1753929,3,7,11,6.0
3119122,6,6,21,10.0
1754736,3,7,18,7.0
6273967,11,4,13,3.0
4875459,9,5,15,25.0
1346315,3,6,9,21.0
533112,1,6,15,30.0
1108726,2,4,14,16.0
6980318,12,5,9,9.0
705460,2,2,15,9.0
6949080,12,2,20,5.0
6057271,11,5,6,19.0
1154985,2,4,17,8.0
6438954,11,4,12,11.0
3004323,6,4,7,15.0
2368400,4,3,21,16.0
6520741,12,6,10,7.0
768309,2,7,7,20.0
3459626,6,4,17,67.0
1728861,3,6,14,11.0
23911,1,4,12,45.0
3686891,7,7,6,6.0
3185806,6,5,17,8.0
6654906,12,4,21,10.0
2961332,5,4,15,15.0
6529959,12,2,16,20.0
51577,1,5,16,5.0
6525700,12,1,13,25.0
6545134,12,7,13,6.0
2925378,5,4,20,33.0
6432730,11,6,7,6.0
4160823,7,5,18,58.0
1150557,2,7,11,85.0
6527299,12,1,9,19.0
296512,1,2,21,4.0
1302188,3,6,12,17.0
3807944,7,5,5,16.0
479778,1,7,16,19.0
6029817,11,7,11,15.0
2430207,5,4,15,9.0
415480,1,7,13,12.0
621458,2,4,6,22.0
653136,2,7,15,52.0
886264,2,5,7,8.0
2499828,5,1,15,17.0
1215801,3,6,10,14.0
2344456,4,7,20,9.0
6964285,12,6,9,43.0
3099916,6,3,10,8.0
653676,2,7,19,16.0
3091538,6,5,15,15.0
6064980,11,3,20,30.0
1980746,4,2,21,19.0
118980,1,3,10,5.0
653096,2,7,14,4.0
297056,1,2,13,12.0
6530592,12,2,18,6.0
4140889,7,2,6,16.0
3394763,6,4,10,2.0
1189134,3,5,15,1.0
2362669,4,4,11,11.0
3546109,6,1,12,8.0
3615690,7,7,9,13.0
1303516,3,7,13,7.0
5913247,10,3,17,8.0
1199820,3,1,7,13.0
6391843,11,4,10,74.0
4855852,9,6,17,6.0
6953563,12,1,15,6.0
670785,2,5,12,1.0
1191137,3,5,21,4.0
269975,1,5,9,10.0
2345427,4,5,9,9.0
568704,1,3,15,4.0
3757433,7,7,12,21.0
50736,1,5,19,14.0
1237201,3,5,15,8.0
256637,1,2,17,7.0
299993,1,3,13,5.0
5512270,10,2,6,17.0
2813134,5,6,12,122.0
1247218,3,1,7,6.0
2878613,5,4,6,28.0
3091369,6,4,14,2.0
97684,1,2,11,9.0
6766961,12,7,6,2.0
1295322,3,5,19,30.0
1180003,3,2,12,10.0
2952183,5,4,17,20.0
6555025,12,3,7,18.0
6979572,12,6,7,5.0
6733279,12,1,8,16.0
908358,2,5,20,66.0
3619006,7,1,10,2.0
1156921,2,7,18,5.0
5366230,9,4,19,6.0
652323,2,7,17,2.0
4771290,8,2,16,24.0
3745177,7,4,16,31.0
724481,2,6,17,20.0
2959296,5,1,20,3.0
882197,2,4,18,14.0
2346891,4,5,19,13.0
1482135,3,7,17,5.0
706434,2,4,12,12.0
126638,1,2,20,12.0
5854526,10,7,12,5.0
5495890,10,5,17,17.0
6350482,11,4,6,11.0
3565457,6,4,17,35.0
4535474,8,5,12,7.0
11364,1,7,20,4.0
9398,1,7,13,19.0
2367462,4,5,21,20.0
3623434,7,2,6,41.0
3823624,7,1,19,3.0
4635251,8,5,15,5.0
299910,1,3,7,17.0
3121488,6,7,14,10.0
704590,2,3,16,8.0
217441,1,4,6,15.0
671899,2,5,6,15.0
2482913,5,6,10,2.0
6447884,11,6,19,6.0
1446704,3,6,19,7.0
6107958,11,4,6,54.0
3679160,7,5,7,209.0
3003598,6,4,8,20.0
5573627,10,6,6,8.0
2414667,5,7,17,27.0
6518016,12,5,19,14.0
3000664,6,3,6,15.0
611931,2,1,10,9.0
6948708,12,1,20,5.0
119813,1,3,20,5.0
1293492,3,6,19,20.0
262725,1,7,7,7.0
4429253,8,5,7,12.0
1220256,3,7,17,30.0
4846845,9,3,20,14.0
1520155,3,4,15,3.0
612314,2,1,11,5.0
535897,1,7,20,57.0
1614623,3,4,17,2.0
539024,1,1,21,15.0
3054386,6,5,19,2.0
6514379,12,4,14,5.0
3684155,7,6,15,6.0
4891,1,5,17,8.0
3818290,7,4,6,12.0
1188685,3,5,6,23.0
2044867,4,3,22,1.0
886781,2,5,17,5.0
3448753,6,4,18,1.0
2279583,4,5,10,3.0
1350518,3,1,9,57.0
4072913,7,2,15,17.0
51603,1,5,21,12.0
3554319,6,6,14,10.0
4015984,7,2,15,10.0
6031496,11,6,6,12.0
2353087,4,1,15,13.0
3069022,6,2,17,7.0
1234188,3,4,15,10.0
6447860,11,6,18,13.0
4660428,8,1,9,2.0
111510,1,7,19,32.0
5438730,10,7,17,16.0
537603,1,4,21,16.0
654908,2,7,16,33.0
302723,1,4,7,31.0
33078,1,7,8,12.0
1401226,3,6,8,52.0
1746716,3,3,19,17.0
5648643,10,7,15,2.0
1007928,2,2,19,7.0
2476923,5,4,7,6.0
2928962,5,5,14,12.0
2083078,4,2,13,10.0
2428766,5,4,10,9.0
2364963,4,3,16,13.0
5951207,11,4,15,2.0
6771394,12,5,5,15.0
1220239,3,7,19,5.0
3679146,7,5,10,64.0
4455661,8,2,18,55.0
6549556,12,1,7,22.0
6519502,12,5,8,6.0
4393599,8,3,20,72.0
6943345,12,1,8,7.0
6083441,11,2,13,80.0
3290586,6,7,8,14.0
483105,1,2,6,13.0
666801,2,4,14,17.0
3072775,6,3,19,2.0
3563471,6,2,18,5.0
3557992,6,5,14,39.0
1327200,3,6,11,23.0
6980789,12,5,7,21.0
2958914,5,6,18,10.0
1757614,3,5,17,15.0
51623,1,5,8,6.0
3188618,6,7,5,19.0
4772621,8,5,11,23.0
3753466,7,2,14,33.0
1295740,3,2,7,4.0
1111310,2,4,11,6.0
3201410,6,1,14,100.0
4905289,9,7,15,7.0
2925497,5,4,10,36.0
885878,2,5,17,12.0
3916587,7,3,13,16.0
3524887,6,1,10,49.0
3544,1,5,10,8.0
1154730,2,6,15,26.0
5347524,9,7,13,18.0
6402470,11,5,14,16.0
5452170,10,4,14,8.0
6154843,11,6,6,24.0
4184491,7,3,12,4.0
3386326,6,4,13,5.0
1963233,4,1,20,15.0
1761401,3,2,19,16.0
1968563,4,1,16,50.0
6717345,12,6,8,7.0
5493295,10,1,18,35.0
1933393,4,1,9,16.0
3630513,7,4,15,5.0
2451794,5,4,11,3.0
1910386,4,6,8,4.0
4112221,7,2,14,22.0
6698080,12,4,13,17.0
576385,1,2,19,18.0
4364852,8,6,6,23.0
338245,1,7,12,11.0
770014,2,1,19,70.0
706530,2,5,6,8.0
1234726,3,4,7,18.0
693530,2,5,17,7.0
4664833,8,6,18,22.0
3281192,6,6,20,13.0
2346827,4,4,16,7.0
3699795,7,4,15,1.0
1231776,3,4,6,10.0
5459511,10,7,18,4.0
4973684,9,1,15,28.0
128657,1,4,6,12.0
1016090,2,4,14,8.0
2919354,5,4,20,10.0
4338791,8,1,9,4.0
6721976,12,3,6,76.0
6531750,12,2,17,49.0
128709,1,2,21,3.0
1530368,3,4,21,131.0
4495975,8,6,6,5.0
885993,2,5,15,7.0
137332,1,6,8,20.0
1918671,4,2,17,28.0
3160647,6,1,11,25.0
1370371,3,6,6,20.0
3442339,6,7,12,36.0
1628092,3,6,8,27.0
2959300,5,6,17,34.0
2498142,5,2,14,14.0
1198139,3,1,6,27.0
6122165,11,3,20,3.0
535959,1,7,11,18.0
6719760,12,1,6,4.0
3742981,7,1,21,32.0
1899541,4,3,19,18.0
2949926,5,3,19,8.0
3571981,6,5,17,19.0
2948648,5,7,19,7.0
1267533,3,7,13,11.0
2350362,4,3,14,6.0
1190980,3,5,18,11.0
1281081,3,5,12,1.0
4163551,7,4,11,19.0
1761435,3,5,19,7.0
5986395,11,1,13,1.0
6730998,12,1,6,13.0
2442431,5,1,9,5.0
2803800,5,7,6,62.0
679312,2,1,7,7.0
3447614,6,3,6,7.0
545436,1,2,16,28.0
6521764,12,6,14,7.0
3122851,6,3,17,92.0
3572063,6,6,15,8.0
1252924,3,3,8,7.0
333396,1,4,8,13.0
1605945,3,7,7,14.0
3529117,6,4,13,27.0
6735533,12,2,15,4.0
878343,2,1,9,5.0
6779591,12,6,11,10.0
535128,1,5,21,8.0
6187429,11,7,14,18.0
6978059,12,1,17,23.0
1449036,3,1,7,3.0
1245322,3,1,7,15.0
1268296,3,1,8,10.0
2349102,4,5,6,13.0
2946546,5,3,20,1.0
1254688,3,3,20,4.0
3255524,6,7,15,14.0
35572,1,1,17,16.0
5446190,10,3,10,1.0
1750515,3,7,11,12.0
6564562,12,6,7,15.0
5911019,10,6,19,15.0
2482897,5,6,9,5.0
645219,2,4,12,15.0
5507886,10,2,6,24.0
4374995,8,7,19,18.0
526978,1,6,14,17.0
744775,2,1,12,23.0
1748959,3,3,19,13.0
1913594,4,4,18,1.0
6519564,12,5,7,16.0
2121047,4,3,17,23.0
3623429,7,2,6,49.0
2407783,5,4,20,9.0
667628,2,4,18,4.0
4784923,8,7,7,8.0
868710,2,7,9,30.0
614648,2,2,13,25.0
6041626,11,6,13,14.0
2668707,5,1,18,18.0
33105,1,7,13,31.0
1836803,4,4,12,19.0
4815775,8,3,8,28.0
263886,1,1,14,3.0
3168640,6,2,15,56.0
5646551,10,5,18,28.0
1347809,3,7,12,16.0
4348951,8,3,20,18.0
3675670,7,4,13,10.0
2122301,4,3,11,23.0
1299672,3,7,17,8.0
6410460,11,6,20,10.0
2089362,4,4,7,17.0
1237947,3,5,10,6.0
3536002,6,5,7,30.0
2478615,5,5,17,2.0
1209284,3,4,7,15.0
3901567,7,4,19,20.0
6709146,12,7,20,37.0
6862311,12,7,20,8.0
5870101,10,5,16,37.0
3279025,6,4,17,8.0
4122401,7,2,14,3.0
4275926,8,5,19,13.0
6861384,12,7,8,15.0
1291809,3,2,15,6.0
1800110,4,7,12,11.0
3062080,6,7,12,3.0
2806271,5,7,7,35.0
1220242,3,7,20,8.0
4884310,9,1,6,33.0
1522691,3,4,6,8.0
571878,1,3,20,13.0
6556527,12,2,18,2.0
3289016,6,5,15,43.0
5230506,9,3,13,15.0
2513081,5,5,14,7.0
1269271,3,1,10,2.0
4232813,8,6,14,7.0
1293780,3,6,18,16.0
1891407,4,1,19,7.0
1282128,3,1,14,1.0
2410267,5,5,18,4.0
5913519,10,3,6,12.0
4150425,7,3,12,63.0
3937272,7,3,16,21.0
6525631,12,1,12,7.0
6557143,12,2,6,7.0
3787360,7,6,7,15.0
3659674,7,6,17,12.0
6971954,12,2,18,4.0
1793816,4,5,7,14.0
3108964,6,2,15,16.0
1276670,3,6,8,52.0
1255453,3,4,16,5.0
4773230,8,7,18,15.0
6038604,11,3,5,6.0
5662131,10,4,15,14.0
5240907,9,1,13,28.0
2955788,5,3,6,6.0
1139541,2,1,8,6.0
2590526,5,4,6,10.0
4291654,8,3,16,5.0
