,Month,DayOfWeek,Time,WeatherDelay
1777580,3,5,19,1.0
6866753,12,1,17,25.0
2953466,5,5,14,79.0
6768081,12,3,9,23.0
829342,2,1,19,10.0
2294425,4,1,17,11.0
3322847,6,6,18,111.0
1042373,2,5,18,73.0
3672236,7,3,12,13.0
4076121,7,3,22,88.0
6902537,12,3,10,59.0
2711844,5,4,10,48.0
6980090,12,6,21,219.0
6638509,12,1,15,21.0
920606,2,2,12,21.0
6978816,12,7,12,103.0
6610820,12,4,21,87.0
2382123,4,5,21,74.0
3158982,6,5,21,5.0
3172926,6,5,18,26.0
4009982,7,3,19,50.0
1588940,3,4,19,12.0
2824069,5,4,18,24.0
6929402,12,2,13,12.0
1507859,3,2,14,70.0
6774455,12,7,10,314.0
6558180,12,7,13,7.0
4138707,7,3,11,13.0
764834,2,5,12,15.0
4623584,8,5,12,19.0
3773075,7,2,17,6.0
6084237,11,4,20,14.0
6868692,12,7,16,8.0
6937907,12,1,8,89.0
3013947,6,7,21,16.0
1511703,3,2,13,209.0
6948161,12,7,10,6.0
1010375,2,2,8,14.0
6975821,12,4,18,5.0
4584177,8,7,20,3.0
3645718,7,2,14,24.0
235265,1,4,15,11.0
2545549,5,1,16,36.0
6752295,12,5,10,23.0
1574704,3,5,11,21.0
1770240,3,6,17,48.0
1155773,2,1,17,12.0
2965410,5,5,15,42.0
921763,2,2,10,157.0
6740458,12,2,7,24.0
3685431,7,7,8,6.0
818184,2,7,20,98.0
5235443,9,4,21,29.0
651827,2,6,15,22.0
6912414,12,1,11,18.0
3417829,6,4,10,88.0
160999,1,5,17,10.0
836276,2,2,17,17.0
234466,1,1,10,13.0
4560364,8,5,14,18.0
1580535,3,3,11,32.0
1754206,3,3,6,34.0
4045129,7,1,16,24.0
5840345,10,4,17,25.0
5212417,9,4,12,35.0
492747,1,7,7,271.0
4104638,7,4,22,32.0
862433,2,2,20,34.0
4513836,8,6,18,48.0
4390504,8,4,14,75.0
2247542,4,5,15,84.0
3671617,7,3,15,29.0
5224660,9,4,16,7.0
3015632,6,7,16,48.0
3430675,6,3,15,166.0
763463,2,3,19,44.0
677383,2,7,14,3.0
2551374,5,4,17,50.0
1572744,3,7,16,12.0
4364545,8,6,8,37.0
3160233,6,1,20,48.0
3732556,7,2,17,53.0
3035277,6,6,20,28.0
158474,1,1,12,35.0
2373260,4,5,11,6.0
621650,2,4,15,7.0
4686158,8,5,13,47.0
1638183,3,4,8,83.0
122452,1,5,19,11.0
3580447,6,4,21,13.0
3927378,7,6,18,19.0
607403,2,7,12,7.0
885013,2,5,7,398.0
3556879,6,2,18,3.0
1579116,3,2,10,4.0
4721305,8,6,19,33.0
6943148,12,2,21,17.0
220453,1,5,16,73.0
2839985,5,5,13,78.0
2641156,5,2,16,17.0
4011634,7,3,19,10.0
6204100,11,5,13,7.0
3924073,7,4,9,6.0
3122216,6,4,21,73.0
1815336,4,4,19,79.0
3766641,7,1,10,49.0
3106448,6,2,21,5.0
1192043,3,6,18,27.0
151349,1,3,18,81.0
4630228,8,5,19,25.0
6534139,12,3,15,16.0
3105223,6,2,18,5.0
6981434,12,4,15,4.0
3058538,6,6,13,20.0
6524505,12,7,14,62.0
3768558,7,1,16,15.0
6964528,12,6,19,118.0
4984490,9,5,12,165.0
4086000,7,1,11,8.0
1187228,3,4,17,40.0
1651143,3,6,14,18.0
6732884,12,1,8,26.0
1178631,3,2,19,145.0
3561104,6,1,20,9.0
6222154,11,6,14,4.0
1950639,4,2,20,23.0
4157044,7,4,8,23.0
3104182,6,5,16,52.0
1778652,3,6,10,14.0
3499864,6,2,20,11.0
850799,2,7,12,3.0
785815,2,4,16,81.0
3778114,7,1,17,85.0
677138,2,7,11,10.0
2175869,4,5,13,52.0
454014,1,2,14,15.0
2544014,5,5,20,54.0
222626,1,4,6,16.0
5218070,9,5,15,10.0
2972209,5,3,17,12.0
6558488,12,7,17,217.0
3243392,6,6,21,19.0
3327703,6,4,19,146.0
512477,1,7,11,14.0
4825910,8,6,21,25.0
4734943,8,5,19,11.0
6850341,12,7,12,6.0
6847360,12,1,9,7.0
3162009,6,4,19,41.0
6993809,12,1,6,314.0
2543320,5,3,15,11.0
6359704,11,4,7,28.0
723185,2,2,14,82.0
3387583,6,2,15,3.0
3850000,7,7,14,80.0
4728829,8,4,17,77.0
2886762,5,2,13,38.0
6561743,12,3,9,246.0
4107058,7,2,18,121.0
6616044,12,2,13,65.0
3491717,6,2,13,7.0
4334563,8,6,5,20.0
6949621,12,4,13,129.0
4535942,8,5,11,68.0
1570804,3,2,15,5.0
3153980,6,4,10,30.0
6843930,12,5,19,39.0
1944123,4,4,13,25.0
5137306,9,1,16,20.0
3765030,7,1,13,28.0
4035108,7,4,17,60.0
1677184,3,5,12,94.0
6519348,12,5,15,9.0
739094,2,7,6,456.0
6831180,12,4,17,11.0
4100391,7,4,7,36.0
6446343,11,1,22,19.0
2835209,5,5,19,16.0
4818004,8,5,18,30.0
2776316,5,7,6,93.0
3496398,6,4,12,4.0
6877687,12,4,6,17.0
6418257,11,6,22,15.0
6088277,11,7,17,157.0
6731561,12,1,6,30.0
6891119,12,1,15,72.0
2257314,4,5,17,26.0
3418135,6,7,18,1.0
1485785,3,3,19,13.0
1485587,3,3,20,32.0
4992565,9,7,18,208.0
3743163,7,2,16,126.0
758870,2,3,11,62.0
404365,1,1,19,25.0
4629853,8,6,21,14.0
1118110,2,5,20,203.0
3615349,7,7,18,143.0
6780627,12,6,12,19.0
3149112,6,3,9,21.0
6441034,11,2,19,11.0
6789370,12,1,6,137.0
1749707,3,1,21,13.0
5443185,10,2,7,79.0
4006094,7,7,14,12.0
4670800,8,6,12,69.0
2845080,5,2,18,12.0
476548,1,6,8,88.0
3478456,6,4,17,15.0
1335494,3,5,16,15.0
931114,2,2,13,37.0
1086484,2,2,15,10.0
3939290,7,7,17,112.0
2694606,5,2,20,14.0
2304402,4,6,13,16.0
3901311,7,4,14,19.0
4644460,8,5,19,34.0
6684456,12,3,20,9.0
3014339,6,7,13,85.0
2116619,4,7,17,84.0
2373279,4,5,8,9.0
3316671,6,6,9,25.0
2904715,5,6,18,48.0
3491775,6,7,8,62.0
5049384,9,7,9,7.0
3957958,7,7,21,12.0
3059486,6,6,10,130.0
298440,1,3,14,62.0
2781703,5,2,13,19.0
6081632,11,5,18,51.0
3162232,6,4,21,27.0
2111390,4,4,16,28.0
157177,1,5,19,157.0
3985179,7,1,21,112.0
6832916,12,5,12,8.0
1093557,2,5,15,9.0
4961905,9,4,19,152.0
4954882,9,5,13,4.0
3568975,6,6,17,28.0
125449,1,4,6,12.0
4391791,8,7,18,248.0
6530183,12,2,18,260.0
4506548,8,7,17,22.0
6441056,11,2,19,16.0
5053089,9,4,13,21.0
3748460,7,2,13,132.0
616240,2,2,7,12.0
3962347,7,2,19,5.0
4447363,8,3,6,46.0
6606606,12,2,17,70.0
410779,1,4,19,35.0
6980408,12,5,13,97.0
1680316,3,7,16,4.0
2842234,5,2,16,4.0
1569083,3,1,14,59.0
843296,2,7,12,22.0
3286969,6,4,22,69.0
3289874,6,6,17,41.0
4143115,7,6,15,7.0
3555635,6,1,16,249.0
1664037,3,5,19,26.0
1520066,3,7,20,15.0
3880841,7,2,17,41.0
6839638,12,2,16,4.0
5375190,9,1,17,21.0
921898,2,7,20,261.0
6922827,12,2,13,17.0
6192507,11,4,10,32.0
3021237,6,2,13,80.0
383905,1,6,6,202.0
4441444,8,6,7,63.0
6610389,12,3,8,16.0
635409,2,1,19,6.0
141717,1,5,8,56.0
4140981,7,1,22,12.0
2445004,5,2,12,15.0
4365521,8,7,21,67.0
6759856,12,5,11,4.0
166541,1,7,20,35.0
1508255,3,6,7,123.0
6028913,11,7,20,12.0
1090560,2,1,18,8.0
6748666,12,2,7,89.0
900502,2,5,20,14.0
2237638,4,2,16,35.0
101669,1,6,7,22.0
3364518,6,7,11,56.0
6571769,12,4,15,12.0
4774008,8,1,7,5.0
2093790,4,7,7,7.0
3557540,6,6,19,97.0
6932586,12,6,15,6.0
3149558,6,3,15,15.0
4307784,8,1,14,7.0
1021975,2,2,10,85.0
1282703,3,1,21,57.0
988151,2,4,13,10.0
6744728,12,5,20,14.0
4407617,8,7,13,52.0
2824015,5,5,14,6.0
3441292,6,5,16,72.0
1510660,3,4,20,7.0
423427,1,1,14,11.0
140940,1,4,12,83.0
3559627,6,2,15,17.0
4206731,7,6,11,3.0
1518538,3,6,12,117.0
6304957,11,1,9,8.0
3935578,7,3,17,15.0
2812951,5,5,13,30.0
4563462,8,5,12,41.0
392376,1,6,14,54.0
1305934,3,3,12,18.0
405490,1,1,20,8.0
4345983,8,3,15,12.0
1299974,3,6,11,2.0
6392677,11,4,17,19.0
730134,2,2,11,96.0
6538942,12,5,13,14.0
240644,1,4,15,19.0
4825641,8,6,20,38.0
6661492,12,3,6,11.0
3937608,7,1,12,83.0
3141833,6,1,21,55.0
1760172,3,3,17,7.0
4842505,8,5,19,173.0
803017,2,1,8,30.0
2009159,4,3,20,8.0
6835299,12,5,19,57.0
527362,1,1,19,15.0
929624,2,3,9,9.0
6974072,12,7,20,12.0
989046,2,4,7,53.0
1285045,3,1,9,290.0
2970139,5,4,11,6.0
2364333,4,5,18,2.0
6880418,12,5,8,63.0
6871459,12,2,18,3.0
1129407,2,5,10,17.0
6665389,12,6,14,19.0
6872219,12,5,9,14.0
3828351,7,3,20,114.0
4512032,8,4,17,193.0
6747560,12,1,23,6.0
410384,1,3,7,35.0
3949817,7,7,11,83.0
6513604,12,4,9,57.0
3320742,6,4,20,137.0
5745312,10,3,10,63.0
708718,2,2,6,149.0
2123028,4,5,9,80.0
6836825,12,1,8,13.0
3957117,7,6,9,26.0
6903377,12,7,11,50.0
3009864,6,6,20,48.0
4825836,8,6,21,24.0
2641319,5,1,10,26.0
1250092,3,2,6,169.0
1080659,2,2,11,19.0
318754,1,1,6,185.0
434665,1,1,18,6.0
2714991,5,7,16,93.0
1052578,2,2,18,50.0
4131718,7,4,16,28.0
5052092,9,3,20,38.0
4593395,8,1,7,46.0
6081424,11,5,20,160.0
221697,1,1,18,10.0
6076876,11,1,18,5.0
636636,2,2,11,47.0
770597,2,1,13,433.0
3391019,6,5,11,37.0
6305384,11,1,20,28.0
3316039,6,3,21,64.0
985691,2,7,14,17.0
4016525,7,3,19,11.0
6612046,12,7,14,80.0
3336970,6,2,19,46.0
1288516,3,1,9,16.0
2509727,5,5,13,74.0
4390394,8,4,15,35.0
3483625,6,5,14,16.0
2859262,5,5,14,44.0
6924977,12,6,19,6.0
6987248,12,3,14,23.0
4630581,8,5,15,67.0
3392506,6,2,10,9.0
1414451,3,5,18,19.0
331953,1,4,14,53.0
3769446,7,7,19,170.0
6853213,12,2,22,34.0
4059770,7,3,17,136.0
6675786,12,1,12,123.0
759702,2,4,19,15.0
366250,1,6,14,95.0
3114244,6,3,18,6.0
3635286,7,6,7,33.0
429332,1,1,9,52.0
525995,1,2,20,9.0
1583915,3,6,11,47.0
4878897,9,6,10,54.0
774375,2,4,7,59.0
4572695,8,1,11,66.0
2119421,4,5,15,109.0
3140088,6,6,19,37.0
3773507,7,1,17,18.0
4392383,8,1,17,50.0
5508188,10,3,17,33.0
1940171,4,5,13,35.0
504166,1,4,14,4.0
408538,1,3,10,28.0
985921,2,5,8,17.0
2352671,4,5,21,18.0
6530490,12,2,14,54.0
2794436,5,5,14,85.0
3959467,7,4,20,55.0
3957176,7,4,20,102.0
2115682,4,5,15,68.0
4353450,8,3,11,20.0
6678869,12,5,17,11.0
5137467,9,1,21,26.0
2617397,5,5,9,122.0
3755804,7,5,17,60.0
4479602,8,1,17,128.0
5506000,10,7,18,39.0
4756201,8,5,18,18.0
498648,1,4,12,5.0
174065,1,4,10,28.0
4594165,8,2,7,24.0
4137883,7,7,14,379.0
3123130,6,7,15,190.0
6612898,12,2,15,50.0
3579446,6,2,17,32.0
2550147,5,2,15,125.0
679643,2,1,21,16.0
5803719,10,3,21,89.0
845477,2,2,13,8.0
6537187,12,5,15,7.0
1969177,4,2,9,40.0
910386,2,1,20,90.0
2020681,4,5,17,110.0
6952786,12,6,8,22.0
6077849,11,3,20,22.0
3143769,6,4,16,126.0
6773005,12,6,10,48.0
506969,1,1,16,7.0
3088038,6,1,17,62.0
1050174,2,2,15,209.0
4335863,8,5,20,104.0
4728691,8,5,19,67.0
6760317,12,2,17,3.0
6689047,12,5,11,6.0
6664350,12,5,7,61.0
508593,1,7,14,9.0
1604591,3,1,7,39.0
718411,2,6,14,11.0
4749796,8,5,14,41.0
387308,1,6,14,27.0
6530367,12,2,11,26.0
6614511,12,6,13,105.0
1660069,3,6,7,15.0
2830118,5,5,14,80.0
1333198,3,2,20,27.0
406249,1,3,7,30.0
238745,1,2,17,34.0
2698864,5,6,8,35.0
402858,1,2,7,16.0
1507444,3,1,15,65.0
3512976,6,1,18,15.0
2177460,4,5,16,4.0
46926,1,4,10,3.0
6572709,12,3,16,115.0
968405,2,2,19,10.0
754196,2,1,14,31.0
2469761,5,2,13,117.0
528751,1,2,7,18.0
490796,1,3,18,6.0
3404838,6,6,17,28.0
408359,1,3,9,10.0
3488672,6,2,15,26.0
887442,2,5,7,43.0
3512023,6,7,15,120.0
3860478,7,5,16,37.0
4560315,8,5,21,8.0
3258916,6,3,14,70.0
4920585,9,5,21,4.0
4557483,8,1,13,54.0
1570301,3,1,7,9.0
4387545,8,6,9,83.0
1135172,2,5,6,92.0
3478214,6,1,20,38.0
4125909,7,3,18,6.0
3625005,7,3,15,52.0
6904798,12,5,18,11.0
6852342,12,6,14,18.0
6906359,12,2,20,51.0
2821257,5,4,17,69.0
985028,2,1,17,3.0
1194181,3,6,6,16.0
1004589,2,3,17,191.0
3624457,7,3,17,4.0
3942644,7,1,13,26.0
1590006,3,5,14,4.0
113355,1,7,7,14.0
6897893,12,2,18,11.0
3336109,6,7,21,119.0
4400448,8,1,14,90.0
2622566,5,2,18,8.0
4623857,8,7,15,31.0
1082793,2,5,14,13.0
3844625,7,2,20,10.0
1519887,3,3,20,32.0
4337724,8,5,16,2.0
645201,2,4,14,18.0
6838246,12,1,16,12.0
4271446,8,4,15,29.0
711112,2,5,14,4.0
4178712,7,7,21,34.0
1941177,4,7,10,21.0
2823966,5,2,14,33.0
6914604,12,7,9,22.0
4737435,8,5,13,18.0
528845,1,2,17,10.0
3219034,6,4,19,9.0
3933779,7,4,15,53.0
2835204,5,7,19,9.0
389698,1,7,6,336.0
140826,1,4,13,150.0
918036,2,7,18,188.0
4536120,8,6,8,15.0
4745337,8,4,17,2.0
6539024,12,5,13,11.0
2020805,4,7,10,147.0
3710451,7,4,6,7.0
3084698,6,7,20,20.0
483074,1,2,12,6.0
1005591,2,2,19,14.0
2889841,5,2,14,40.0
3558608,6,5,17,19.0
6692342,12,7,14,12.0
3241097,6,3,7,28.0
2834328,5,6,7,27.0
4178705,7,7,13,10.0
201177,1,1,21,50.0
6834759,12,1,12,3.0
6245926,11,6,16,10.0
4178727,7,7,20,254.0
4215863,7,7,20,44.0
4223970,7,7,19,35.0
705522,2,7,7,5.0
6895714,12,5,15,129.0
3325699,6,3,10,9.0
3868650,7,2,15,33.0
2425216,5,3,14,3.0
6983754,12,1,8,156.0
3777988,7,4,20,140.0
3334428,6,7,17,152.0
1335803,3,6,13,88.0
3502334,6,4,7,75.0
6835797,12,1,19,77.0
4360988,8,7,15,81.0
4233643,8,7,17,11.0
6752832,12,6,21,14.0
5492280,10,3,20,38.0
4399314,8,5,22,37.0
4270306,8,4,19,102.0
6950944,12,7,13,337.0
2613665,5,4,15,27.0
2818614,5,2,18,4.0
1052544,2,2,16,150.0
2823798,5,6,18,35.0
5005304,9,1,16,54.0
1910563,4,4,12,3.0
6687437,12,2,19,196.0
6715186,12,5,8,8.0
332767,1,7,11,3.0
1129515,2,5,9,34.0
4626340,8,6,18,122.0
3959319,7,7,20,50.0
1123803,2,2,19,7.0
3620476,7,1,7,51.0
4670801,8,7,12,136.0
6839677,12,3,18,1.0
2701986,5,2,18,29.0
897797,2,3,9,23.0
3772728,7,6,19,40.0
526947,1,2,16,15.0
4224032,7,7,19,11.0
5994241,11,3,13,25.0
1441590,3,2,20,5.0
719103,2,5,21,78.0
3063286,6,1,18,2.0
888690,2,6,13,9.0
2261197,4,4,17,49.0
5001831,9,6,8,83.0
1152305,2,4,14,10.0
4249108,8,4,21,10.0
1335777,3,6,12,124.0
6469624,12,4,15,18.0
6388524,11,5,9,40.0
6029084,11,7,18,254.0
3936578,7,7,12,296.0
6104944,11,7,7,2.0
6490689,12,4,16,76.0
1697101,3,2,12,59.0
4127526,7,3,20,46.0
3582860,6,1,19,18.0
6611916,12,7,14,120.0
247426,1,1,18,79.0
1525129,3,7,17,22.0
1632293,3,6,14,45.0
4506619,8,7,15,25.0
757168,2,6,11,49.0
3424397,6,1,8,45.0
1779255,3,6,9,24.0
1948124,4,4,16,10.0
985342,2,2,7,70.0
1071703,2,3,9,7.0
994011,2,5,17,6.0
985917,2,1,8,7.0
6630446,12,1,13,5.0
141158,1,4,11,197.0
3966793,7,3,12,51.0
6385688,11,2,12,36.0
818392,2,5,16,17.0
3275109,6,1,15,17.0
296988,1,2,20,57.0
565625,1,4,20,39.0
5101241,9,4,17,10.0
3480129,6,5,22,4.0
73143,1,5,19,18.0
3514657,6,3,15,4.0
4512112,8,4,20,28.0
5455899,10,5,6,21.0
397961,1,7,6,8.0
1681227,3,1,22,40.0
4481250,8,5,13,16.0
454112,1,3,10,55.0
1586712,3,6,11,10.0
2120857,4,5,11,38.0
3524032,6,6,17,1.0
6078571,11,5,7,21.0
1692334,3,3,12,15.0
1504435,3,3,16,130.0
3726023,7,4,18,42.0
4746900,8,2,18,2.0
1043390,2,5,7,178.0
3315157,6,5,17,55.0
1487980,3,5,9,2.0
3311514,6,7,20,27.0
233421,1,4,8,26.0
763861,2,4,10,21.0
6203508,11,5,21,35.0
2445063,5,2,12,16.0
3228926,6,1,11,37.0
2128414,4,5,12,38.0
59674,1,1,13,12.0
1154918,2,2,16,7.0
2798791,5,6,7,452.0
3468968,6,7,17,75.0
790527,2,7,16,141.0
3809659,7,6,8,45.0
4136457,7,4,19,25.0
6921087,12,6,16,30.0
164627,1,4,17,13.0
4038040,7,7,18,8.0
4578345,8,1,7,120.0
4052568,7,4,18,62.0
6780871,12,5,10,24.0
3119483,6,6,18,38.0
2952433,5,2,19,18.0
6733455,12,1,7,13.0
3870207,7,6,18,6.0
607556,2,7,11,186.0
3144576,6,5,21,118.0
6521402,12,6,7,184.0
387833,1,7,14,94.0
2114953,4,5,14,80.0
5525735,10,5,21,5.0
4213731,7,6,17,9.0
4391853,8,7,19,191.0
4987506,9,4,17,45.0
6844448,12,1,10,100.0
3574947,6,4,19,31.0
4785591,8,1,9,76.0
3483338,6,2,18,11.0
120985,1,3,18,46.0
4377235,8,3,14,38.0
323606,1,2,15,6.0
4113966,7,3,19,5.0
4716890,8,5,18,1.0
2540587,5,5,14,36.0
2849984,5,1,12,7.0
6951143,12,1,18,44.0
6760630,12,7,15,69.0
6979235,12,7,12,7.0
1979787,4,1,17,47.0
4170997,7,7,20,19.0
1596576,3,5,12,10.0
5536677,10,2,8,97.0
4216165,7,1,19,7.0
6158666,11,1,6,33.0
6993577,12,1,8,268.0
823721,2,1,14,49.0
2872134,5,1,10,3.0
1596308,3,1,19,6.0
5700509,10,4,15,23.0
6905332,12,6,9,40.0
2225152,4,5,18,91.0
5126568,9,5,18,20.0
982539,2,1,16,2.0
6860521,12,6,12,18.0
1032479,2,1,12,6.0
6837641,12,1,7,10.0
2374849,4,6,7,7.0
6832620,12,2,11,81.0
4366111,8,1,20,207.0
1669161,3,6,11,56.0
4728473,8,4,10,15.0
3242164,6,7,15,11.0
708135,2,5,19,59.0
159262,1,2,11,28.0
3056805,6,6,20,24.0
175969,1,6,8,95.0
1605590,3,5,13,90.0
110248,1,3,6,6.0
4192983,7,3,14,1.0
3772222,7,2,16,41.0
922898,2,2,18,14.0
3234410,6,2,12,16.0
6044953,11,2,17,7.0
1049047,2,3,6,44.0
6829450,12,6,17,52.0
182444,1,3,6,18.0
6036894,11,5,11,2.0
5233740,9,2,13,55.0
3221760,6,1,17,9.0
1954338,4,1,11,50.0
1015292,2,3,14,43.0
4204016,7,3,13,5.0
734661,2,1,11,28.0
6897571,12,3,17,124.0
6525259,12,1,13,262.0
2835138,5,5,12,10.0
6975922,12,4,12,19.0
815755,2,5,17,8.0
5511802,10,1,9,22.0
6948781,12,2,18,63.0
909541,2,2,18,76.0
983122,2,7,17,2.0
3428038,6,6,11,41.0
1129499,2,5,7,33.0
6592428,12,5,19,125.0
5215463,9,6,7,134.0
990788,2,1,16,4.0
2118280,4,2,15,30.0
3000381,6,3,18,1.0
2110050,4,5,15,131.0
5219124,9,5,8,5.0
1098354,2,7,12,100.0
5262386,9,2,19,20.0
3148931,6,2,14,104.0
3927123,7,6,18,28.0
6615152,12,7,16,15.0
2733420,5,5,17,5.0
4354525,8,2,6,393.0
3141838,6,1,22,97.0
3591616,6,1,20,47.0
6932707,12,3,20,45.0
2132371,4,6,14,13.0
616562,2,3,12,8.0
6561770,12,3,13,30.0
81560,1,1,10,3.0
2784716,5,4,6,171.0
6986656,12,4,12,12.0
1587227,3,6,14,19.0
7005411,12,3,17,18.0
862387,2,2,18,19.0
4822589,8,2,23,8.0
1537341,3,4,18,65.0
3162853,6,5,20,85.0
6952033,12,3,8,78.0
3504512,6,4,14,25.0
675169,2,7,8,70.0
6931308,12,4,21,58.0
6938310,12,1,8,20.0
1095324,2,5,21,12.0
3124079,6,7,16,51.0
164600,1,4,10,19.0
6677098,12,1,18,17.0
3246752,6,6,19,29.0
4817366,8,3,18,5.0
6986667,12,4,12,5.0
2879743,5,2,9,17.0
6649335,12,7,20,74.0
4751310,8,1,15,11.0
6919446,12,1,8,27.0
6516740,12,5,17,2.0
2550216,5,2,17,157.0
6072086,11,7,11,30.0
748412,2,5,6,25.0
6613614,12,3,19,68.0
1067885,2,4,10,3.0
6300271,11,7,11,10.0
1671236,3,6,12,36.0
3150454,6,5,8,25.0
4474836,8,1,8,19.0
2112098,4,5,14,83.0
4675311,8,7,17,94.0
5145424,9,5,20,5.0
1523904,3,6,13,150.0
161260,1,5,20,25.0
4750880,8,5,9,21.0
6964500,12,6,20,25.0
3915319,7,3,21,27.0
4149287,7,2,19,58.0
4357802,8,1,12,21.0
386975,1,6,10,9.0
1629591,3,3,8,25.0
3768639,7,4,17,97.0
6199603,11,7,12,33.0
1136940,2,6,14,6.0
406893,1,5,21,22.0
4644303,8,1,12,32.0
1162342,2,1,11,7.0
6605538,12,6,15,36.0
4632241,8,5,19,17.0
493489,1,5,19,16.0
2482105,5,6,19,3.0
526267,1,7,6,65.0
6609564,12,2,21,42.0
704478,2,6,17,17.0
4831824,8,4,19,12.0
2962073,5,6,13,40.0
2117603,4,4,11,68.0
92542,1,4,19,33.0
772808,2,3,8,68.0
421067,1,3,20,13.0
158203,1,7,14,19.0
6581534,12,2,18,40.0
292892,1,3,8,458.0
6838153,12,2,12,33.0
3000215,6,3,15,122.0
2796118,5,5,13,26.0
3958970,7,1,21,22.0
3214816,6,7,17,17.0
318697,1,1,11,44.0
1903085,4,6,9,8.0
6366213,11,1,21,155.0
1954507,4,1,16,272.0
6563722,12,7,17,17.0
1662916,3,1,6,12.0
2709890,5,4,21,7.0
1695770,3,1,10,6.0
3431355,6,6,10,37.0
5817923,10,2,17,12.0
3057377,6,6,19,93.0
1077733,2,3,17,5.0
2109061,4,5,15,144.0
3475080,6,2,17,199.0
221707,1,4,18,16.0
2124040,4,5,15,44.0
2782860,5,2,8,17.0
484907,1,1,18,85.0
6566858,12,4,12,15.0
2926173,5,6,8,43.0
4037189,7,1,19,22.0
6467664,12,3,20,18.0
6855359,12,2,13,16.0
4686161,8,1,13,27.0
6300790,11,1,9,14.0
3014952,6,7,21,22.0
125618,1,5,14,14.0
4725455,8,5,6,17.0
6979850,12,6,7,14.0
3513916,6,1,15,94.0
4675831,8,6,13,66.0
4264171,8,2,14,10.0
6521088,12,6,19,1.0
6941999,12,3,15,19.0
756028,2,4,12,8.0
1508498,3,6,11,219.0
1407062,3,6,8,6.0
22337,1,4,13,28.0
3175628,6,6,10,65.0
406802,1,1,14,34.0
1642147,3,3,21,85.0
800399,2,6,14,55.0
6332612,11,5,13,19.0
1984091,4,2,23,55.0
4405215,8,5,6,98.0
3773468,7,3,17,45.0
4114651,7,6,17,24.0
6607274,12,3,15,40.0
3772263,7,3,22,106.0
1670744,3,4,12,140.0
6614397,12,5,12,98.0
2999524,6,3,15,77.0
1164581,2,3,12,7.0
3413738,6,2,19,1.0
4461853,8,1,10,34.0
6305591,11,1,17,36.0
745255,2,2,9,32.0
1446612,3,5,19,2.0
2453106,5,4,6,10.0
4083375,7,7,18,13.0
5960982,11,7,15,7.0
923662,2,3,14,76.0
2243129,4,1,21,18.0
2554169,5,2,19,50.0
400884,1,5,18,11.0
1665141,3,1,22,57.0
4991559,9,5,17,20.0
1864029,4,5,16,68.0
3333313,6,1,21,48.0
415578,1,5,15,10.0
3953166,7,3,17,92.0
1155370,2,7,12,8.0
3500083,6,6,18,101.0
79620,1,7,12,18.0
4991808,9,5,13,27.0
3024370,6,3,19,9.0
522968,1,2,13,8.0
6864453,12,2,18,23.0
3207889,6,5,20,32.0
3339907,6,3,13,29.0
3870899,7,7,16,23.0
3776149,7,1,18,120.0
4129361,7,2,19,12.0
296875,1,2,14,20.0
1024466,2,5,12,41.0
3572616,6,7,21,9.0
919041,2,4,17,16.0
2709862,5,5,9,76.0
4726321,8,4,15,41.0
151880,1,4,13,10.0
3443658,6,4,17,49.0
3315153,6,1,17,19.0
1430644,3,5,20,116.0
1665883,3,5,6,6.0
503279,1,3,13,8.0
6839421,12,3,7,114.0
4392604,8,1,8,60.0
6597267,12,5,9,28.0
125204,1,2,10,29.0
3774199,7,3,19,12.0
4623527,8,3,20,42.0
72668,1,5,16,58.0
2348844,4,5,17,5.0
4734996,8,3,15,16.0
2229843,4,4,15,164.0
3858845,7,4,14,60.0
4027352,7,6,9,89.0
3747066,7,7,17,42.0
6899115,12,1,7,51.0
3935916,7,7,13,359.0
3060581,6,7,15,26.0
2897436,5,2,15,13.0
2602219,5,5,19,35.0
4260312,8,1,14,79.0
6701401,12,7,14,1.0
983699,2,5,8,33.0
197156,1,5,5,43.0
6609470,12,1,10,20.0
4563529,8,1,20,29.0
5301664,9,7,19,34.0
1157725,2,5,17,22.0
4113951,7,2,19,11.0
217030,1,4,18,28.0
1006345,2,2,18,33.0
6864137,12,2,16,9.0
6513394,12,4,17,55.0
616099,2,2,15,3.0
1704374,3,7,21,54.0
6445429,11,3,17,19.0
4480403,8,7,7,25.0
312382,1,3,9,73.0
748266,2,5,7,70.0
6865792,12,6,14,89.0
756104,2,4,19,35.0
2456161,5,5,14,3.0
3778438,7,7,20,80.0
3764514,7,7,19,221.0
2402536,5,3,10,30.0
4846352,9,3,16,58.0
3354158,6,1,14,73.0
6821851,12,3,14,12.0
110392,1,5,17,6.0
2612991,5,3,10,20.0
4939685,9,5,10,15.0
1185868,3,4,19,12.0
6856101,12,1,9,8.0
5593671,10,1,11,154.0
1691707,3,1,10,3.0
3266471,6,2,21,12.0
6627993,12,1,6,45.0
2212102,4,4,17,45.0
3959095,7,7,13,291.0
3338302,6,2,10,50.0
6814354,12,4,17,7.0
6664947,12,6,6,52.0
1335279,3,5,10,20.0
843144,2,2,17,56.0
3245066,6,5,16,55.0
2914533,5,2,21,6.0
910902,2,2,13,80.0
6930263,12,2,15,6.0
4074793,7,7,14,14.0
1944028,4,4,11,35.0
3449930,6,6,17,46.0
1954203,4,1,14,105.0
1068307,2,3,12,1.0
124575,1,2,18,10.0
