,Month,DayOfWeek,Time,NASDelay
5284481,9,5,17,18.0
6825527,12,1,16,1.0
760290,2,5,11,54.0
2292076,4,5,10,16.0
2747715,5,7,10,4.0
5341094,9,1,15,11.0
6660074,12,6,9,28.0
1466609,3,7,18,2.0
4112747,7,3,17,69.0
2631979,5,4,9,36.0
6505668,12,1,18,2.0
4723813,8,6,16,35.0
1012070,2,4,16,9.0
6222499,11,7,13,18.0
2204875,4,2,13,87.0
4940748,9,4,16,17.0
473732,1,4,10,4.0
3519375,6,6,10,10.0
885013,2,5,7,4.0
6535911,12,4,9,4.0
4492542,8,1,12,16.0
4715812,8,2,11,9.0
478215,1,7,15,28.0
2312277,4,7,13,57.0
3208816,6,5,17,163.0
1131402,2,1,17,28.0
80335,1,7,18,21.0
3596729,6,5,11,3.0
2146963,4,7,15,1.0
1869846,4,7,19,3.0
3340328,6,5,14,16.0
2148492,4,2,18,16.0
6565847,12,5,11,21.0
2965658,5,3,15,39.0
1409140,3,1,19,17.0
2631378,5,7,10,56.0
2186264,4,3,7,2.0
3987021,7,3,16,10.0
1014752,2,7,13,28.0
2283425,4,1,15,1.0
4387060,8,5,18,13.0
946166,2,2,12,28.0
1422637,3,2,18,5.0
4388948,8,2,10,42.0
4582258,8,1,8,40.0
4958772,9,3,18,51.0
3023831,6,3,18,1.0
6692068,12,7,16,4.0
2057184,4,5,15,156.0
2842552,5,5,18,27.0
6589766,12,1,11,51.0
2640913,5,5,15,13.0
3776815,7,7,17,2.0
712679,2,7,7,15.0
1449427,3,1,22,16.0
4403054,8,5,15,18.0
3102428,6,4,13,28.0
5644587,10,4,20,15.0
6795958,12,4,9,2.0
3938890,7,6,15,77.0
5724048,10,5,14,34.0
6592425,12,5,11,211.0
4100001,7,3,8,15.0
1285089,3,3,9,74.0
2689577,5,5,18,1.0
5158572,9,1,15,18.0
6904713,12,6,19,10.0
6886289,12,3,13,9.0
4179875,7,2,13,21.0
2141146,4,7,10,2.0
5206986,9,7,12,38.0
4888112,9,2,13,2.0
2814531,5,5,7,10.0
5366859,9,1,10,17.0
6678951,12,2,19,107.0
