,Month,DayOfWeek,Time,NASDelay
1111954,2,5,20,25.0
2717123,5,2,20,46.0
4722689,8,1,20,25.0
382191,1,7,16,7.0
2284552,4,5,9,5.0
2924506,5,2,7,24.0
2485672,5,5,8,17.0
2129894,4,3,6,36.0
412552,1,3,17,1.0
6566705,12,4,6,16.0
5028848,9,3,17,19.0
6973967,12,7,15,8.0
1191281,3,5,11,28.0
3090763,6,7,20,2.0
2303297,4,6,12,1.0
7001544,12,7,17,29.0
1569955,3,1,12,3.0
4821895,8,2,10,3.0
5391677,10,7,6,15.0
2261533,4,6,9,1.0
3868462,7,2,9,47.0
3736625,7,5,13,6.0
1093312,2,2,15,27.0
6908367,12,4,19,25.0
1173558,2,3,10,16.0
247387,1,1,18,21.0
4175472,7,1,13,53.0
442569,1,3,13,20.0
6828271,12,6,7,2.0
3112448,6,5,17,106.0
6998404,12,4,20,5.0
1699278,3,2,11,73.0
6256809,11,4,15,9.0
2012057,4,2,20,1.0
588152,1,2,21,1.0
125454,1,5,14,31.0
1991697,4,4,10,34.0
4218477,7,2,20,18.0
3696257,7,3,16,16.0
1778555,3,6,12,76.0
6270628,11,3,8,25.0
3629973,7,4,19,17.0
4513193,8,5,21,17.0
1171928,2,2,20,21.0
3184164,6,4,21,5.0
4165301,7,4,21,12.0
3686704,7,7,10,65.0
6235382,11,4,11,18.0
1302591,3,5,18,24.0
1507859,3,2,14,18.0
1420775,3,4,9,17.0
1628400,3,5,7,14.0
366205,1,6,20,32.0
850760,2,7,11,2.0
70579,1,4,17,3.0
4097824,7,3,18,148.0
6258777,11,6,18,8.0
1402828,3,1,11,137.0
5491874,10,3,13,78.0
546866,1,2,18,36.0
6347599,11,6,12,31.0
5841279,10,6,12,30.0
5168245,9,5,16,3.0
3014795,6,7,21,15.0
683143,2,2,16,32.0
6613158,12,2,16,23.0
3289340,6,5,16,216.0
2010150,4,1,14,8.0
3522237,6,6,17,23.0
4415892,8,5,14,20.0
1485613,3,3,11,14.0
2457760,5,5,19,1.0
269488,1,5,7,39.0
4353525,8,2,10,23.0
5343927,9,7,21,6.0
276694,1,4,18,29.0
3585780,6,4,16,106.0
2965747,5,5,20,6.0
3962352,7,2,19,92.0
6967060,12,3,19,5.0
3839673,7,1,10,129.0
6060317,11,3,15,115.0
6253111,11,6,21,38.0
996675,2,7,16,4.0
440687,1,4,8,24.0
3267621,6,3,20,2.0
3767863,7,5,14,35.0
4154459,7,5,12,6.0
1686108,3,1,20,31.0
1402365,3,5,17,19.0
4097809,7,2,18,27.0
3413611,6,6,18,20.0
6349537,11,6,15,78.0
6562163,12,2,7,40.0
1664646,3,1,16,17.0
4308885,8,1,15,50.0
3260120,6,4,9,21.0
3894630,7,5,10,17.0
117352,1,3,9,8.0
2557945,5,4,17,36.0
6242863,11,3,13,18.0
5693626,10,3,17,79.0
5409902,10,5,19,2.0
4767064,8,7,7,4.0
4486351,8,5,5,23.0
2441289,5,1,15,1.0
399006,1,5,16,15.0
1954884,4,2,13,79.0
2810306,5,1,11,12.0
1912796,4,6,6,26.0
866805,2,6,9,19.0
2304002,4,3,19,26.0
502871,1,4,13,1.0
1818560,4,5,18,19.0
5908011,10,3,17,120.0
1071400,2,5,18,10.0
6937836,12,6,21,20.0
6690443,12,2,7,27.0
1503553,3,5,11,20.0
2103948,4,2,17,20.0
6675875,12,7,6,26.0
6980477,12,5,18,36.0
6199679,11,7,10,127.0
1538712,3,6,20,9.0
3502971,6,6,14,35.0
1521312,3,2,14,33.0
897726,2,3,16,4.0
717050,2,6,11,29.0
4792894,8,7,21,28.0
2302784,4,1,10,3.0
59183,1,1,19,18.0
6273299,11,7,15,100.0
1710618,3,5,13,2.0
4146917,7,6,11,1.0
253367,1,7,11,6.0
1281854,3,1,16,54.0
2961440,5,3,11,12.0
2382630,4,6,14,154.0
2965951,5,1,12,32.0
4395234,8,5,22,22.0
5241648,9,5,19,18.0
1100075,2,1,20,24.0
503947,1,5,19,12.0
6563389,12,1,16,24.0
2898040,5,3,13,22.0
1389664,3,4,20,16.0
4566960,8,5,9,1.0
3285382,6,2,15,6.0
3548949,6,6,14,49.0
1262297,3,6,7,13.0
3560995,6,4,16,18.0
5414288,10,7,13,2.0
843057,2,2,13,25.0
6613219,12,2,10,14.0
2950119,5,7,17,3.0
1696642,3,7,13,46.0
133030,1,7,12,127.0
6693978,12,1,14,24.0
6718849,12,1,9,20.0
109982,1,4,15,6.0
5838481,10,4,15,52.0
4832710,8,4,18,88.0
1029557,2,6,8,1.0
1125227,2,5,19,16.0
2528397,5,4,9,6.0
5072443,9,4,13,137.0
4787598,8,5,18,9.0
1875293,4,1,19,8.0
868654,2,7,6,5.0
3332781,6,1,20,58.0
621144,2,4,19,33.0
4917767,9,4,15,6.0
995329,2,1,19,4.0
6800362,12,4,21,3.0
2738195,5,1,19,18.0
2487062,5,7,15,32.0
1303009,3,7,12,8.0
5137583,9,1,16,7.0
2828900,5,1,15,6.0
2060491,4,1,14,8.0
1487464,3,5,0,5.0
557274,1,1,17,18.0
976634,2,5,6,4.0
3481734,6,3,8,10.0
255098,1,5,17,13.0
1556406,3,1,14,8.0
5828766,10,3,13,25.0
1048738,2,1,12,16.0
3350434,6,3,14,2.0
2906515,5,7,12,3.0
4815572,8,3,14,49.0
3741692,7,7,22,58.0
6654418,12,4,8,24.0
6922128,12,1,19,24.0
3236837,6,5,14,43.0
5149166,9,4,5,20.0
4646619,8,2,9,104.0
1433711,3,7,19,2.0
1761384,3,2,8,41.0
2293869,4,4,21,24.0
3474746,6,4,15,45.0
2690906,5,5,15,17.0
2025835,4,3,12,32.0
6155176,11,7,8,56.0
6645003,12,3,9,20.0
7004971,12,2,9,20.0
6893510,12,6,17,16.0
6194801,11,7,17,15.0
3924096,7,4,19,9.0
6569821,12,7,17,38.0
453212,1,4,13,11.0
408366,1,7,10,11.0
6894775,12,6,15,9.0
825710,2,7,17,28.0
2032766,4,6,11,19.0
6031021,11,7,12,6.0
6920407,12,3,12,15.0
3484842,6,6,11,1.0
6821616,12,2,9,2.0
3933333,7,4,11,5.0
6680124,12,1,12,78.0
5999011,11,4,12,25.0
3241103,6,2,7,38.0
4768437,8,3,13,8.0
3863552,7,3,12,97.0
2339555,4,5,16,164.0
1645695,3,3,10,25.0
3232226,6,3,19,9.0
6222750,11,7,14,25.0
6870311,12,4,18,5.0
856054,2,4,7,17.0
896528,2,2,6,22.0
1970113,4,2,16,6.0
3904388,7,6,11,16.0
4824587,8,5,11,1.0
6081831,11,5,11,1.0
6050688,11,1,12,72.0
68148,1,4,11,29.0
1040101,2,5,9,41.0
6049200,11,3,15,89.0
2325373,4,3,18,15.0
6457090,11,5,6,34.0
221366,1,3,12,117.0
982244,2,6,12,21.0
4465940,8,7,8,45.0
617052,2,3,17,40.0
2906994,5,5,15,5.0
6919835,12,3,18,16.0
1964364,4,5,22,3.0
3408672,6,5,11,30.0
3340129,6,4,20,34.0
629527,2,7,19,2.0
829910,2,6,7,15.0
5126355,9,5,20,32.0
6580071,12,1,14,20.0
338911,1,7,11,18.0
73093,1,5,18,17.0
1388125,3,3,19,33.0
1299386,3,2,8,6.0
2263397,4,1,13,27.0
321823,1,3,15,14.0
1727167,3,3,17,115.0
4875742,9,5,20,3.0
6770241,12,6,12,4.0
1099970,2,5,16,2.0
3413795,6,2,12,62.0
68120,1,4,18,38.0
4785834,8,1,12,39.0
1905750,4,3,9,10.0
1741584,3,7,13,23.0
2194584,4,4,16,10.0
1813675,4,4,17,15.0
2221584,4,2,15,1.0
6751889,12,5,14,29.0
3308058,6,4,17,33.0
2608240,5,5,11,112.0
4500846,8,3,20,14.0
6564317,12,7,9,16.0
937650,2,1,21,15.0
6882154,12,1,10,4.0
1542618,3,4,17,13.0
3369587,6,7,19,44.0
3361206,6,3,16,23.0
1875702,4,1,7,30.0
5619618,10,4,22,5.0
2824302,5,3,19,3.0
4536490,8,6,16,4.0
4061615,7,6,7,2.0
1067397,2,1,8,32.0
4204881,7,2,17,11.0
6857578,12,3,16,4.0
516824,1,5,10,9.0
3195855,6,4,6,3.0
4744183,8,2,16,1.0
1293204,3,5,15,3.0
3596141,6,5,7,22.0
159216,1,2,8,18.0
6107671,11,1,10,17.0
423337,1,6,16,39.0
2341336,4,1,18,77.0
1141061,2,4,19,59.0
705283,2,4,18,48.0
6911394,12,1,19,7.0
4145484,7,4,17,7.0
5232731,9,4,13,6.0
2141160,4,7,8,14.0
134494,1,2,17,166.0
641453,2,3,18,4.0
1343918,3,5,5,29.0
4822473,8,4,19,186.0
6089832,11,1,13,23.0
3460568,6,4,17,113.0
3242982,6,2,17,13.0
1707964,3,1,16,12.0
655131,2,1,13,2.0
2013407,4,3,11,19.0
3323911,6,1,16,103.0
6504132,12,1,14,75.0
5056640,9,6,6,21.0
4781865,8,1,16,8.0
162270,1,7,9,7.0
1663206,3,3,8,5.0
3436978,6,3,17,39.0
6402691,11,5,7,21.0
4218631,7,3,20,39.0
1031902,2,6,6,8.0
5140466,9,5,9,15.0
869296,2,1,21,1.0
4871883,9,4,15,4.0
4333406,8,3,15,43.0
6414524,11,5,12,36.0
4200731,7,4,19,11.0
2432133,5,5,12,11.0
5908341,10,3,14,40.0
4376233,8,1,19,3.0
6513365,12,4,19,15.0
6964299,12,6,8,36.0
2813575,5,2,9,6.0
2970740,5,1,6,35.0
4176493,7,3,10,38.0
546579,1,2,13,17.0
3012207,6,6,11,4.0
3710217,7,3,21,12.0
637991,2,2,15,101.0
818969,2,2,18,18.0
6799691,12,3,16,18.0
2867404,5,5,15,67.0
2342622,4,3,12,18.0
2363263,4,5,12,19.0
4148062,7,7,0,4.0
2987169,5,7,10,21.0
953744,2,5,18,8.0
3870807,7,1,12,23.0
4547181,8,7,17,34.0
6835931,12,5,11,23.0
7007198,12,4,6,8.0
4214241,7,6,9,19.0
6743691,12,5,18,24.0
2179726,4,3,8,12.0
1502130,3,2,20,6.0
4923794,9,6,19,6.0
5929292,10,7,17,4.0
6028232,11,7,12,18.0
3669794,7,2,13,10.0
85073,1,2,22,2.0
6397929,11,5,13,91.0
1147583,2,6,9,63.0
1415301,3,2,6,34.0
2988438,5,1,9,37.0
6657129,12,1,6,15.0
4124030,7,3,14,16.0
6137880,11,2,16,16.0
5999861,11,5,19,5.0
128030,1,1,15,6.0
5979378,11,5,10,52.0
431117,1,1,10,16.0
4779992,8,5,19,25.0
1083938,2,7,16,21.0
1143317,2,5,16,114.0
1737673,3,1,8,7.0
2656164,5,5,17,21.0
1711374,3,4,15,19.0
985044,2,3,17,7.0
1619169,3,1,7,21.0
6075021,11,7,19,12.0
1497186,3,5,21,2.0
572398,1,3,18,21.0
3103170,6,5,14,156.0
3564736,6,1,18,16.0
1305747,3,1,9,24.0
3584915,6,3,16,27.0
3436066,6,3,14,42.0
6145779,11,3,15,22.0
335106,1,5,13,35.0
5728727,10,5,18,26.0
1858292,4,3,13,5.0
2346817,4,5,12,21.0
1240188,3,6,14,1.0
6605296,12,6,12,55.0
529311,1,6,11,6.0
5353449,9,7,21,20.0
6738778,12,1,11,4.0
5651489,10,3,14,24.0
3767308,7,1,19,9.0
346339,1,2,18,5.0
4011845,7,3,19,67.0
3177043,6,7,10,43.0
2667856,5,1,9,17.0
4726024,8,2,20,1.0
3470358,6,5,19,38.0
6788204,12,7,10,10.0
6974397,12,6,19,30.0
5728756,10,5,10,65.0
5304286,9,4,12,24.0
456679,1,2,7,22.0
4157734,7,5,12,4.0
1590416,3,6,11,70.0
2660036,5,1,16,45.0
3234670,6,6,15,41.0
1498373,3,6,18,19.0
4782519,8,3,13,5.0
5675250,10,5,15,104.0
3482747,6,6,19,38.0
3260827,6,4,12,18.0
467238,1,3,10,15.0
942456,2,3,11,30.0
6906948,12,1,6,12.0
524832,1,6,18,4.0
2780386,5,5,8,5.0
4980834,9,5,15,5.0
4833374,8,5,17,40.0
6662717,12,7,11,23.0
3399852,6,5,13,13.0
2127217,4,5,17,269.0
2158224,4,1,8,44.0
4154140,7,4,15,36.0
886480,2,5,16,3.0
6619673,12,4,10,14.0
1155745,2,3,13,6.0
1135763,2,5,19,34.0
4182794,7,3,8,47.0
145323,1,3,15,243.0
5172260,9,5,20,16.0
4596389,8,5,10,15.0
1036909,2,2,15,18.0
3248263,6,7,17,24.0
6901452,12,7,18,10.0
1707452,3,4,18,2.0
6199580,11,7,10,10.0
3014342,6,7,19,14.0
898248,2,4,18,24.0
3797029,7,6,13,6.0
4389193,8,2,9,2.0
5618717,10,3,6,23.0
3114124,6,6,17,3.0
6963855,12,5,18,24.0
2912436,5,6,7,21.0
6822392,12,3,14,17.0
6177982,11,6,11,38.0
1400103,3,1,6,27.0
987293,2,7,19,1.0
2882783,5,7,17,18.0
4420204,8,7,14,19.0
285513,1,4,20,19.0
3854083,7,3,18,18.0
5047920,9,4,16,33.0
6744173,12,5,21,8.0
5350198,9,1,10,38.0
2703793,5,3,17,19.0
3385900,6,6,12,3.0
455488,1,4,5,10.0
4059100,7,3,13,28.0
6683289,12,3,17,19.0
1762216,3,1,15,7.0
6965667,12,1,22,1.0
3235991,6,5,17,21.0
1635760,3,7,16,11.0
4626571,8,1,10,20.0
429736,1,5,6,18.0
6103068,11,4,10,84.0
2877011,5,6,11,32.0
896955,2,3,21,16.0
2997701,6,2,8,4.0
1509954,3,5,17,24.0
3011180,6,6,18,79.0
910694,2,5,8,5.0
3916806,7,3,21,7.0
854800,2,3,7,25.0
1496531,3,5,16,52.0
3272189,6,6,16,58.0
3036200,6,7,7,8.0
6610554,12,4,10,20.0
2964824,5,6,21,15.0
6859805,12,7,7,8.0
2881152,5,7,13,3.0
2727637,5,2,17,8.0
3525687,6,3,10,21.0
94235,1,6,10,8.0
1413429,3,2,18,7.0
2280262,4,5,18,21.0
78503,1,7,20,11.0
2873207,5,6,9,3.0
75804,1,6,18,3.0
1357610,3,6,6,29.0
1068724,2,3,19,7.0
3775797,7,7,13,246.0
6869608,12,2,13,27.0
2674127,5,5,6,24.0
2787198,5,2,20,3.0
5147346,9,1,12,14.0
4344840,8,5,13,42.0
240002,1,2,9,41.0
3784895,7,4,15,9.0
3737910,7,7,17,24.0
7005336,12,3,9,19.0
3013807,6,7,16,19.0
1704073,3,4,9,36.0
762507,2,2,12,24.0
1179093,3,2,16,1.0
2297232,4,4,13,18.0
3865178,7,3,13,19.0
2414483,5,7,18,5.0
3329896,6,6,17,58.0
3474359,6,7,7,21.0
844162,2,3,17,32.0
191252,1,1,18,117.0
272915,1,1,9,21.0
1710997,3,1,1,15.0
1660982,3,1,14,2.0
760089,2,4,15,28.0
5138091,9,2,11,15.0
916012,2,3,6,37.0
3285737,6,3,14,37.0
3581067,6,7,16,10.0
713782,2,1,8,62.0
1475179,3,7,13,47.0
241817,1,5,22,43.0
6799615,12,2,16,7.0
6646001,12,7,21,9.0
5589384,10,7,19,5.0
3784619,7,4,17,24.0
2236977,4,1,19,30.0
6611182,12,5,10,43.0
327922,1,1,21,91.0
6887764,12,5,7,34.0
92032,1,4,13,87.0
894994,2,1,13,4.0
3569774,6,6,11,29.0
2068907,4,1,22,10.0
292812,1,3,19,3.0
2548339,5,5,18,7.0
2480251,5,5,6,1.0
4725579,8,5,10,39.0
1765169,3,6,6,53.0
3975639,7,3,15,4.0
2151899,4,7,17,17.0
226114,1,1,10,15.0
6486912,12,2,6,25.0
6758984,12,1,11,14.0
2027025,4,5,18,9.0
3887271,7,7,17,83.0
6564087,12,7,14,125.0
4784699,8,6,8,4.0
1183117,3,3,17,16.0
6477033,12,6,17,5.0
3320953,6,1,14,3.0
3241184,6,7,8,44.0
1743304,3,5,12,4.0
91670,1,4,16,10.0
3289060,6,5,10,20.0
5905229,10,7,12,14.0
2664846,5,5,15,165.0
4179951,7,2,20,36.0
2401214,5,3,17,10.0
3441156,6,2,13,6.0
6655612,12,2,16,12.0
3562867,6,4,20,66.0
2545455,5,7,19,35.0
2877124,5,2,16,20.0
6919261,12,3,20,14.0
4386728,8,5,15,16.0
259208,1,4,7,16.0
2821269,5,1,12,7.0
4188445,7,2,17,3.0
6502493,12,7,9,15.0
6513061,12,4,13,1.0
2344514,4,6,15,1.0
900257,2,5,15,55.0
3108979,6,6,9,2.0
1134832,2,3,19,12.0
6841517,12,6,16,74.0
6562349,12,2,10,20.0
1083650,2,1,20,6.0
2226966,4,4,21,19.0
2140861,4,6,13,15.0
4629132,8,1,18,5.0
1599841,3,3,11,85.0
5310491,9,5,11,28.0
2353230,4,3,22,9.0
1145953,2,4,19,1.0
49518,1,5,13,7.0
1898351,4,4,13,17.0
4587512,8,4,15,11.0
6246137,11,6,10,20.0
4353067,8,3,7,3.0
1583616,3,2,10,10.0
6613302,12,2,15,38.0
3900230,7,3,17,1.0
1620342,3,1,11,27.0
3914090,7,2,10,10.0
1470312,3,3,18,20.0
2885179,5,6,13,6.0
5936464,10,5,12,17.0
4188491,7,6,20,1.0
1141433,2,5,21,22.0
3052528,6,4,6,16.0
1467038,3,1,16,14.0
1610465,3,3,11,21.0
2294674,4,7,17,4.0
413150,1,4,10,114.0
1406020,3,7,6,31.0
3852147,7,2,8,18.0
5502413,10,4,12,127.0
6797709,12,6,16,13.0
3968377,7,1,19,27.0
3508522,6,3,19,98.0
6203415,11,5,14,101.0
2825575,5,3,8,19.0
711365,2,4,19,10.0
6922136,12,2,19,35.0
6472956,12,5,10,24.0
1735728,3,4,18,90.0
78545,1,7,14,17.0
3005913,6,4,11,21.0
242921,1,3,18,1.0
946698,2,3,16,10.0
1461887,3,4,11,43.0
4769588,8,6,17,5.0
866493,2,5,21,15.0
2566744,5,3,10,54.0
2358274,4,1,16,170.0
6043554,11,4,17,194.0
3634592,7,6,18,27.0
5030377,9,4,17,27.0
6437913,11,6,9,7.0
2302478,4,6,7,39.0
4198142,7,6,16,5.0
4948956,9,6,14,37.0
4802092,8,5,16,73.0
2372814,4,5,14,58.0
2330752,4,4,10,20.0
3114111,6,5,10,12.0
3031912,6,5,17,2.0
6273341,11,7,19,27.0
655355,2,1,15,64.0
6951080,12,1,7,1.0
3145617,6,6,17,32.0
1150168,2,1,16,57.0
1709843,3,5,16,31.0
6337243,11,2,11,29.0
3589667,6,7,21,10.0
931363,2,7,17,9.0
4839444,8,3,13,16.0
1080522,2,3,11,1.0
240571,1,4,19,32.0
1893099,4,4,15,21.0
1544133,3,6,15,8.0
3215486,6,4,7,18.0
1294950,3,7,17,12.0
5669451,10,1,16,19.0
3853644,7,2,18,4.0
4132387,7,1,7,26.0
1319778,3,2,14,133.0
2925622,5,4,16,3.0
6449345,11,6,6,17.0
6776201,12,6,13,9.0
4468846,8,5,14,51.0
1341477,3,1,18,25.0
6462687,11,3,16,26.0
1585595,3,5,16,5.0
2846730,5,5,11,75.0
1749868,3,4,11,16.0
2911328,5,5,20,19.0
5351996,9,7,11,4.0
3413040,6,5,16,3.0
6150716,11,6,8,8.0
4809980,8,2,11,32.0
3056256,6,5,9,16.0
2350365,4,5,10,3.0
6860550,12,6,9,14.0
4047659,7,1,6,5.0
6930196,12,7,17,66.0
1383944,3,1,6,38.0
1537562,3,4,19,19.0
3866654,7,1,6,38.0
2293169,4,7,8,27.0
6321545,11,4,13,55.0
991396,2,3,12,54.0
3346181,6,4,16,16.0
5373807,9,6,15,17.0
3574722,6,1,8,30.0
107137,1,4,12,5.0
6892474,12,3,16,32.0
4058962,7,1,6,15.0
214251,1,2,10,115.0
2867001,5,4,16,28.0
4664748,8,1,15,10.0
2360067,4,1,18,21.0
6325238,11,6,13,65.0
2566592,5,3,16,5.0
852485,2,1,16,25.0
3442821,6,3,8,17.0
861624,2,2,6,5.0
2844936,5,7,21,16.0
3470050,6,6,8,15.0
3702245,7,2,12,1.0
5914070,10,2,20,26.0
3302739,6,7,10,80.0
2617744,5,4,10,50.0
4636735,8,5,9,9.0
6994873,12,1,14,18.0
2402000,5,3,12,7.0
5982525,11,6,7,55.0
2880164,5,5,10,18.0
1085374,2,1,15,13.0
1072343,2,5,12,29.0
4144215,7,4,16,183.0
1209392,3,4,17,6.0
2445577,5,2,15,1.0
6838217,12,1,11,1.0
2003162,4,4,20,14.0
2142733,4,2,14,44.0
1117540,2,5,23,7.0
994814,2,5,6,22.0
4111551,7,4,14,32.0
598319,1,3,6,15.0
2912439,5,2,7,20.0
1027921,2,6,19,20.0
5347291,9,4,7,19.0
6712960,12,3,13,19.0
422175,1,2,13,46.0
1496963,3,5,7,6.0
3638473,7,7,14,12.0
2794721,5,3,6,2.0
2460885,5,6,11,4.0
5964427,11,1,15,2.0
2406340,5,4,12,7.0
3544955,6,6,20,136.0
3571739,6,5,13,112.0
3882103,7,3,18,134.0
3517788,6,1,20,1.0
1589985,3,5,14,20.0
3200563,6,7,16,6.0
3515195,6,1,12,5.0
1028893,2,7,12,17.0
1330926,3,5,15,12.0
1483734,3,2,10,268.0
4946509,9,4,11,1.0
3339816,6,3,8,24.0
2606351,5,5,11,27.0
181551,1,2,20,151.0
3921500,7,2,7,43.0
4145162,7,2,18,23.0
3343107,6,7,14,3.0
434312,1,3,7,19.0
3903710,7,5,20,17.0
110470,1,2,14,78.0
449497,1,4,13,12.0
2275815,4,3,11,45.0
3044092,6,2,11,1.0
4130011,7,5,9,20.0
341032,1,4,15,24.0
2012312,4,6,19,19.0
5517994,10,4,22,33.0
1147954,2,4,18,1.0
1456913,3,7,21,5.0
6683158,12,1,9,34.0
6741662,12,3,11,2.0
1132189,2,3,17,10.0
6714062,12,4,9,8.0
2515167,5,5,11,11.0
6687277,12,2,10,19.0
1334251,3,3,7,18.0
2828682,5,5,21,21.0
2924398,5,2,20,16.0
2633037,5,3,21,39.0
4577,1,5,6,8.0
3921524,7,2,16,6.0
2878983,5,2,13,25.0
67579,1,3,10,9.0
2604374,5,6,15,133.0
5535911,10,1,15,49.0
3542359,6,1,18,19.0
3124369,6,5,13,35.0
4549917,8,2,15,123.0
1503191,3,6,13,6.0
645425,2,4,11,20.0
258155,1,3,23,8.0
3013746,6,7,21,5.0
562611,1,4,12,19.0
4969061,9,1,9,30.0
1133280,2,5,19,24.0
4307621,8,1,17,17.0
939224,2,5,17,12.0
3810930,7,7,16,14.0
3368581,6,6,15,19.0
256449,1,2,22,15.0
6798725,12,1,12,1.0
1331335,3,5,7,21.0
2503436,5,3,18,98.0
5306896,9,4,17,2.0
2005473,4,4,16,9.0
403491,1,2,11,4.0
3418135,6,7,18,18.0
2283213,4,2,13,32.0
4127173,7,4,21,4.0
4983198,9,3,17,28.0
6046173,11,7,10,21.0
2725937,5,3,9,18.0
6427319,11,7,18,17.0
1297778,3,2,8,33.0
3485458,6,5,12,3.0
2111605,4,7,17,6.0
3323433,6,7,8,17.0
979022,2,4,12,4.0
399367,1,5,17,19.0
1063663,2,2,10,13.0
6743214,12,4,13,7.0
3456903,6,4,21,15.0
6632605,12,7,10,108.0
5121693,9,1,13,6.0
2512477,5,5,14,23.0
2921122,5,1,17,10.0
1331855,3,6,8,20.0
5703832,10,3,6,15.0
4394241,8,4,19,94.0
3094757,6,3,21,57.0
418474,1,4,9,16.0
1196348,3,7,12,5.0
4105542,7,6,17,21.0
2369992,4,3,17,48.0
3148298,6,1,13,16.0
4575973,8,4,18,125.0
3103797,6,6,7,24.0
6976611,12,3,6,28.0
2197761,4,6,12,27.0
2904708,5,6,18,7.0
6840706,12,5,17,6.0
1040581,2,4,14,18.0
6575439,12,7,19,1.0
4343585,8,1,11,40.0
78129,1,7,11,78.0
3897485,7,1,19,10.0
6921585,12,6,19,8.0
6642492,12,3,21,10.0
2593574,5,6,12,56.0
5155317,9,2,17,53.0
1548950,3,5,19,20.0
2829089,5,4,16,29.0
5776055,10,1,13,24.0
3263294,6,6,10,14.0
2029871,4,1,19,30.0
2946464,5,3,9,10.0
934928,2,4,8,14.0
6786739,12,7,18,16.0
1301874,3,1,18,15.0
4059034,7,5,21,31.0
4834802,8,6,12,18.0
1409894,3,1,17,15.0
6052680,11,6,18,17.0
298504,1,3,13,9.0
4170821,7,7,18,120.0
708042,2,3,6,28.0
2704078,5,3,16,21.0
5584735,10,2,12,22.0
4231225,7,5,7,59.0
1134433,2,2,19,29.0
5936154,10,5,14,19.0
1696876,3,1,9,34.0
4123477,7,2,19,7.0
4088926,7,6,19,6.0
6932705,12,1,20,2.0
1601980,3,5,12,52.0
3771830,7,3,14,3.0
3807878,7,5,8,104.0
6806648,12,6,18,71.0
4323113,8,5,20,8.0
1016820,2,3,10,31.0
2865916,5,2,19,39.0
3153739,6,3,12,20.0
5804055,10,1,17,4.0
3686244,7,7,18,15.0
238489,1,5,13,28.0
3899459,7,2,20,31.0
2610801,5,6,6,17.0
2144496,4,4,5,29.0
272723,1,1,16,22.0
623191,2,5,19,24.0
3830788,7,4,21,25.0
5488984,10,7,10,16.0
6768529,12,4,6,22.0
4847879,9,3,20,2.0
6562505,12,2,20,14.0
682092,2,2,20,6.0
1305902,3,5,9,6.0
2545873,5,1,12,123.0
443703,1,7,15,16.0
3451135,6,4,15,8.0
3511852,6,2,13,6.0
5088041,9,7,18,48.0
1405408,3,3,19,36.0
6965333,12,7,6,32.0
4751834,8,2,16,6.0
6711497,12,2,7,26.0
3435079,6,1,17,40.0
3424599,6,1,21,29.0
509344,1,1,15,9.0
903196,2,1,9,42.0
462197,1,2,14,1.0
757854,2,1,16,59.0
4329625,8,2,19,7.0
6676719,12,1,11,27.0
4570620,8,7,14,6.0
2481086,5,6,9,27.0
3072738,6,3,18,3.0
6576213,12,5,11,17.0
4758992,8,1,10,3.0
5132084,9,2,17,34.0
3487098,6,5,8,28.0
4989943,9,2,17,1.0
165896,1,6,9,12.0
4161807,7,7,7,24.0
167741,1,2,18,15.0
1072171,2,5,7,11.0
501401,1,6,21,4.0
6390439,11,7,11,27.0
4173302,7,4,23,19.0
4430506,8,6,19,1.0
247753,1,2,10,9.0
125739,1,2,16,15.0
2987268,5,7,11,5.0
611630,2,1,10,67.0
1292145,3,6,9,64.0
1109790,2,7,22,11.0
1846340,4,7,8,1.0
1749444,3,1,10,59.0
534855,1,5,13,18.0
5955102,11,5,21,1.0
5353770,9,4,17,19.0
1613203,3,6,17,7.0
1728968,3,7,20,20.0
2591377,5,4,20,12.0
3031251,6,5,17,5.0
8932,1,7,20,4.0
1307867,3,7,10,23.0
4873790,9,4,14,15.0
4574922,8,3,10,23.0
1985634,4,2,11,59.0
4250354,8,5,21,4.0
6513668,12,4,16,29.0
6626963,12,4,18,8.0
520194,1,3,11,9.0
1576865,3,4,19,1.0
3911678,7,2,12,11.0
1245319,3,1,21,15.0
2314210,4,4,19,22.0
4825087,8,5,14,4.0
6766580,12,5,11,34.0
5415989,10,7,11,4.0
748333,2,5,15,18.0
677273,2,7,11,14.0
1676818,3,4,11,4.0
2239470,4,5,8,46.0
6410033,11,4,10,39.0
4411696,8,2,17,19.0
4459905,8,7,23,17.0
6977964,12,1,20,9.0
3831951,7,3,14,16.0
3451392,6,5,21,30.0
535242,1,6,7,10.0
1497262,3,5,18,15.0
3991892,7,2,11,44.0
1005326,2,6,6,11.0
1427765,3,2,11,18.0
3469957,6,7,11,15.0
6762357,12,5,7,16.0
1212162,3,5,7,23.0
4523384,8,6,8,10.0
1894245,4,5,6,39.0
4740493,8,6,18,7.0
6029849,11,7,11,6.0
1011527,2,6,10,23.0
2280716,4,7,10,4.0
898246,2,4,18,20.0
5584713,10,1,12,3.0
5287671,9,7,21,7.0
6835571,12,4,6,7.0
821348,2,1,14,19.0
3416666,6,3,15,33.0
5305620,9,5,17,41.0
1214161,3,5,20,5.0
3270703,6,5,14,28.0
2986551,5,7,13,12.0
6684058,12,2,6,27.0
2985355,5,5,17,11.0
1696554,3,1,11,106.0
3690541,7,1,20,1.0
1459741,3,2,11,23.0
4718228,8,4,19,7.0
4331730,8,7,8,16.0
